Date,Value
2015-07-27,6831.3
2015-07-24,6712.0
2015-07-23,6815.4
2015-07-22,6760.0
2015-07-21,6865.9
2015-07-20,6859.8
2015-07-17,7035.1
2015-07-16,7107.2
2015-07-15,7125.2
2015-07-14,7186.8
2015-07-13,7165.2
2015-07-10,7199.3
2015-07-09,7229.6
2015-07-08,7193.9
2015-07-07,7181.0
2015-07-06,7240.4
2015-07-03,7248.3
2015-07-02,7229.8
2015-07-01,7243.5
2015-06-30,7261.4
2015-06-29,7301.6
2015-06-26,7267.6
2015-06-25,7279.3
2015-06-24,7286.4
2015-06-23,7313.7
2015-06-22,7361.2
2015-06-19,7471.4
2015-06-18,7461.2
2015-06-17,7314.3
2015-06-16,7312.1
2015-06-15,7335.2
2015-06-12,7343.3
2015-06-11,7314.6
2015-06-10,7375.7
2015-06-09,7306.8
2015-06-08,7277.2
2015-06-05,7224.1
2015-06-04,7290.6
2015-06-03,7375.6
2015-06-02,7393.3
2015-06-01,7438.5
2015-05-29,7385.0
2015-05-28,7348.9
2015-05-27,7355.5
2015-05-26,7350.0
2015-05-25,7465.1
2015-05-22,7464.1
2015-05-21,7471.8
2015-05-20,7511.3
2015-05-19,7535.2
2015-05-18,7590.7
2015-05-15,7573.8
2015-05-14,7596.2
2015-05-13,7511.3
2015-05-12,7397.9
2015-05-11,7384.2
2015-05-08,7364.2
2015-05-07,7363.7
2015-05-06,7402.8
2015-05-05,7428.2
2015-05-04,7298.0
2015-05-01,7293.6
2015-04-30,7317.1
2015-04-29,7495.7
2015-04-28,7503.5
2015-04-27,7464.4
2015-04-24,7328.8
2015-04-23,7349.4
2015-04-22,7367.9
2015-04-21,7413.0
2015-04-20,7420.7
2015-04-17,7456.9
2015-04-16,7463.4
2015-04-15,7402.4
2015-04-14,7421.7
2015-04-13,7453.9
2015-04-10,7496.4
2015-04-09,7415.4
2015-04-08,7489.8
2015-04-07,7504.1
2015-04-06,7370.4
2015-04-03,7421.1
2015-04-02,7427.6
2015-04-01,7416.0
2015-03-31,7359.2
2015-03-30,7359.8
2015-03-27,7433.5
2015-03-26,7475.7
2015-03-25,7428.4
2015-03-24,7396.4
2015-03-23,7370.5
2015-03-20,7342.4
2015-03-19,7225.0
2015-03-18,7147.0
2015-03-17,7192.3
2015-03-16,7206.0
2015-03-13,7211.2
2015-03-12,7216.4
2015-03-11,7202.1
2015-03-10,7276.6
2015-03-09,7320.4
2015-03-06,7367.5
2015-03-05,7532.5
2015-03-04,7522.4
2015-03-03,7610.0
2015-03-02,7606.1
2015-02-27,7611.5
2015-02-26,7562.6
2015-02-25,7541.7
2015-02-24,7460.6
2015-02-23,7536.0
2015-02-20,7559.8
2015-02-19,7567.4
2015-02-18,7544.3
2015-02-17,7565.5
2015-02-16,7681.8
2015-02-13,7691.9
2015-02-12,7635.4
2015-02-11,7639.5
2015-02-10,7705.9
2015-02-09,7737.3
2015-02-06,7749.8
2015-02-05,7874.1
2015-02-04,7925.8
2015-02-03,7912.2
2015-02-02,7966.1
2015-01-30,7878.0
2015-01-29,7925.6
2015-01-28,8045.9
2015-01-27,8049.0
2015-01-26,7980.7
2015-01-23,8065.4
2015-01-22,8045.8
2015-01-21,8035.6
2015-01-20,8008.8
2015-01-19,7923.9
2015-01-16,7931.1
2015-01-15,7791.3
2015-01-14,7654.3
2015-01-13,7635.9
2015-01-12,7610.2
2015-01-09,7561.3
2015-01-08,7554.0
2015-01-07,7521.6
2015-01-06,7520.5
2015-01-05,7465.0
2015-01-02,7275.3
2015-01-01,7486.5
2014-12-31,7485.2
2014-12-30,7481.1
2014-12-29,7379.5
2014-12-26,7306.6
2014-12-25,7286.6
2014-12-24,7308.6
2014-12-23,7320.8
2014-12-22,7437.9
2014-12-19,7437.8
2014-12-18,7453.6
2014-12-17,7411.4
2014-12-16,7444.4
2014-12-15,7489.9
2014-12-12,7531.5
2014-12-11,7528.0
2014-12-10,7590.8
2014-12-09,7593.7
2014-12-08,7364.0
2014-12-05,7347.2
2014-12-04,7441.8
2014-12-03,7402.1
2014-12-02,7349.6
2014-12-01,7345.5
2014-11-28,7270.4
2014-11-27,7334.0
2014-11-26,7349.1
2014-11-25,7358.1
2014-11-24,7348.3
2014-11-21,7372.4
2014-11-20,7287.2
2014-11-19,7321.6
2014-11-18,7301.2
2014-11-17,7248.3
2014-11-14,7165.7
2014-11-13,7117.0
2014-11-12,7134.4
2014-11-11,7083.9
2014-11-10,7111.7
2014-11-07,7067.2
2014-11-06,7000.2
2014-11-05,6983.6
2014-11-04,7137.1
2014-11-03,7124.3
2014-10-31,7118.5
2014-10-30,7351.8
2014-10-29,7478.0
2014-10-28,7516.1
2014-10-27,7516.3
2014-10-24,7542.1
2014-10-23,7543.8
2014-10-22,7610.1
2014-10-21,7657.2
2014-10-20,7622.1
2014-10-17,7560.3
2014-10-16,7580.0
2014-10-15,7581.7
2014-10-14,7563.3
2014-10-13,7529.5
2014-10-10,7474.4
2014-10-09,7521.1
2014-10-08,7471.3
2014-10-07,7432.8
2014-10-06,7341.7
2014-10-03,7336.5
2014-10-02,7439.3
2014-10-01,7469.4
2014-09-30,7468.9
2014-09-29,7503.2
2014-09-26,7437.4
2014-09-25,7448.7
2014-09-24,7468.9
2014-09-23,7500.8
2014-09-22,7451.9
2014-09-19,7490.6
2014-09-18,7495.6
2014-09-17,7593.4
2014-09-16,7573.8
2014-09-15,7580.9
2014-09-12,7555.6
2014-09-11,7609.4
2014-09-10,7668.6
2014-09-09,7706.7
2014-09-08,7732.4
2014-09-05,7775.1
2014-09-04,7805.7
2014-09-03,7772.1
2014-09-02,7789.1
2014-09-01,7903.4
2014-08-29,7898.8
2014-08-28,7938.8
2014-08-27,7880.8
2014-08-26,7912.8
2014-08-25,7861.4
2014-08-22,7858.5
2014-08-21,7845.6
2014-08-20,7953.1
2014-08-19,7963.0
2014-08-18,7974.6
2014-08-15,7971.2
2014-08-14,8082.4
2014-08-13,8075.0
2014-08-12,8102.9
2014-08-11,8045.2
2014-08-08,8064.4
2014-08-07,8043.0
2014-08-06,8052.6
2014-08-05,7928.5
2014-08-04,7974.3
2014-08-01,7979.7
2014-07-31,7936.0
2014-07-30,7990.0
2014-07-29,8035.5
2014-07-28,8072.0
2014-07-25,8017.5
2014-07-24,8008.6
2014-07-23,8108.2
2014-07-22,8128.8
2014-07-21,8144.3
2014-07-18,8115.5
2014-07-17,8081.6
2014-07-16,8073.0
2014-07-15,8132.9
2014-07-14,8105.6
2014-07-11,8282.9
2014-07-10,8313.8
2014-07-09,8199.8
2014-07-08,8165.0
2014-07-07,8165.0
2014-07-04,8203.9
2014-07-03,8193.0
2014-07-02,8249.0
2014-07-01,8255.2
2014-06-30,8177.5
2014-06-27,8193.0
2014-06-26,8166.0
2014-06-25,8210.1
2014-06-24,8216.5
2014-06-23,8178.8
2014-06-20,8172.0
2014-06-19,8055.3
2014-06-18,7912.7
2014-06-17,7892.3
2014-06-16,7945.9
2014-06-13,7906.5
2014-06-12,7871.6
2014-06-11,7860.2
2014-06-10,7841.0
2014-06-09,7822.7
2014-06-06,7798.0
2014-06-05,7832.0
2014-06-04,7783.4
2014-06-03,7773.4
2014-06-02,7793.7
2014-05-30,7812.3
2014-05-29,7831.3
2014-05-28,7904.1
2014-05-27,7970.3
2014-05-26,8058.4
2014-05-23,8054.8
2014-05-22,8096.8
2014-05-21,8024.3
2014-05-20,8082.1
2014-05-19,8121.2
2014-05-16,8050.8
2014-05-15,8093.3
2014-05-14,8130.5
2014-05-13,8076.2
2014-05-12,8100.8
2014-05-09,8041.8
2014-05-08,8015.6
2014-05-07,8080.8
2014-05-06,8133.8
2014-05-05,8001.5
2014-05-02,8020.8
2014-05-01,8003.2
2014-04-30,8065.8
2014-04-29,8121.6
2014-04-28,8122.8
2014-04-25,8138.5
2014-04-24,8056.5
2014-04-23,8017.8
2014-04-22,8024.4
2014-04-21,8090.2
2014-04-18,8081.0
2014-04-17,8078.7
2014-04-16,8098.1
2014-04-15,8074.1
2014-04-14,8245.6
2014-04-11,8186.4
2014-04-10,8203.9
2014-04-09,8071.8
2014-04-08,8114.8
2014-04-07,8071.2
2014-04-04,8058.9
2014-04-03,7975.2
2014-04-02,8018.2
2014-04-01,7968.2
2014-03-31,8025.0
2014-03-28,8043.6
2014-03-27,8052.6
2014-03-26,8097.5
2014-03-25,8145.3
2014-03-24,8123.9
2014-03-21,8318.9
2014-03-20,8262.8
2014-03-19,8290.7
2014-03-18,8394.5
2014-03-17,8487.6
2014-03-14,8518.3
2014-03-13,8400.2
2014-03-12,8391.6
2014-03-11,8265.3
2014-03-10,8253.5
2014-03-07,8180.9
2014-03-06,8231.7
2014-03-05,8194.6
2014-03-04,8200.2
2014-03-03,8295.0
2014-02-28,8151.9
2014-02-27,8162.6
2014-02-26,8157.5
2014-02-25,8201.0
2014-02-24,8139.6
2014-02-21,8060.8
2014-02-20,8008.6
2014-02-19,8024.7
2014-02-18,8014.3
2014-02-17,8050.6
2014-02-14,8008.3
2014-02-13,7859.1
2014-02-12,7818.4
2014-02-11,7770.0
2014-02-10,7739.0
2014-02-07,7636.1
2014-02-06,7617.3
2014-02-05,7603.7
2014-02-04,7581.8
2014-02-03,7648.4
2014-01-31,7582.4
2014-01-30,7528.8
2014-01-29,7653.4
