SERIES,DESCRIPTION
XUDLUSG,Effective exchange rate index - US $ (1990 average = 100)

DATE,XUDLUSG
02 Jan 1975,117.3693
03 Jan 1975,117.1071
06 Jan 1975,116.7672
07 Jan 1975,116.5889
08 Jan 1975,116.9035
09 Jan 1975,116.8024
10 Jan 1975,116.7792
13 Jan 1975,116.6711
14 Jan 1975,117.011
15 Jan 1975,116.898
16 Jan 1975,116.8404
17 Jan 1975,116.8573
20 Jan 1975,116.6731
21 Jan 1975,116.4839
22 Jan 1975,115.9145
23 Jan 1975,115.7467
24 Jan 1975,115.0708
27 Jan 1975,114.6912
28 Jan 1975,115.1529
29 Jan 1975,115.569
30 Jan 1975,115.5417
31 Jan 1975,115.502
03 Feb 1975,115.6427
04 Feb 1975,116.0195
05 Feb 1975,116.0068
06 Feb 1975,115.7931
07 Feb 1975,115.5113
10 Feb 1975,114.8437
11 Feb 1975,114.6719
12 Feb 1975,114.7831
13 Feb 1975,114.7818
14 Feb 1975,114.5716
17 Feb 1975,114.4268
18 Feb 1975,114.4609
19 Feb 1975,114.3476
20 Feb 1975,114.0529
21 Feb 1975,113.8485
24 Feb 1975,113.0438
25 Feb 1975,113.3452
26 Feb 1975,113.0158
27 Feb 1975,112.8109
28 Feb 1975,112.8459
03 Mar 1975,112.6284
04 Mar 1975,112.8151
05 Mar 1975,112.8266
06 Mar 1975,113.0631
07 Mar 1975,113.5844
10 Mar 1975,113.5262
11 Mar 1975,113.106
12 Mar 1975,113.6568
13 Mar 1975,113.7345
14 Mar 1975,113.5498
17 Mar 1975,113.3216
18 Mar 1975,113.2038
19 Mar 1975,113.2691
20 Mar 1975,113.2547
21 Mar 1975,113.4313
24 Mar 1975,113.6253
25 Mar 1975,113.8858
26 Mar 1975,114.0526
27 Mar 1975,114.3808
01 Apr 1975,114.1019
02 Apr 1975,114.1789
03 Apr 1975,114.3856
04 Apr 1975,114.7421
07 Apr 1975,114.6672
08 Apr 1975,114.4783
09 Apr 1975,114.5653
10 Apr 1975,114.8614
11 Apr 1975,114.689
14 Apr 1975,114.8396
15 Apr 1975,114.596
16 Apr 1975,114.5831
17 Apr 1975,114.4808
18 Apr 1975,114.3996
21 Apr 1975,114.6938
22 Apr 1975,114.6641
23 Apr 1975,114.2895
24 Apr 1975,114.4085
25 Apr 1975,114.6876
28 Apr 1975,114.8212
29 Apr 1975,114.5837
30 Apr 1975,114.3079
01 May 1975,114.243
02 May 1975,114.1388
05 May 1975,113.8749
06 May 1975,113.9084
07 May 1975,113.7863
08 May 1975,113.6376
09 May 1975,113.71
12 May 1975,113.6288
13 May 1975,113.2762
14 May 1975,113.4598
15 May 1975,113.7584
16 May 1975,113.7032
19 May 1975,113.647
20 May 1975,113.7639
21 May 1975,113.6104
22 May 1975,113.2466
23 May 1975,113.2834
27 May 1975,113.2436
28 May 1975,113.2089
29 May 1975,113.3633
30 May 1975,113.6868
02 Jun 1975,113.6566
03 Jun 1975,113.3391
04 Jun 1975,113.4627
05 Jun 1975,113.5727
06 Jun 1975,113.61
09 Jun 1975,113.6586
10 Jun 1975,113.6583
11 Jun 1975,113.7393
12 Jun 1975,113.731
13 Jun 1975,113.7998
16 Jun 1975,113.9316
17 Jun 1975,113.8346
18 Jun 1975,114.0588
19 Jun 1975,114.0454
20 Jun 1975,114.0242
23 Jun 1975,114.1607
24 Jun 1975,114.3986
25 Jun 1975,114.5364
26 Jun 1975,114.4551
27 Jun 1975,114.6116
30 Jun 1975,114.8406
01 Jul 1975,114.9077
02 Jul 1975,115.2427
03 Jul 1975,115.3731
04 Jul 1975,115.4966
07 Jul 1975,115.6286
08 Jul 1975,115.4532
09 Jul 1975,115.4254
10 Jul 1975,115.81
11 Jul 1975,115.9899
14 Jul 1975,116.1917
15 Jul 1975,116.2303
16 Jul 1975,116.5753
17 Jul 1975,116.8396
18 Jul 1975,116.9883
21 Jul 1975,117.1966
22 Jul 1975,117.1351
23 Jul 1975,117.5877
24 Jul 1975,117.5774
25 Jul 1975,117.4906
28 Jul 1975,117.8971
29 Jul 1975,117.9617
30 Jul 1975,118.2735
31 Jul 1975,118.3168
01 Aug 1975,118.3867
04 Aug 1975,118.4139
05 Aug 1975,118.2174
06 Aug 1975,118.4042
07 Aug 1975,118.7038
08 Aug 1975,118.626
11 Aug 1975,118.7143
12 Aug 1975,118.7409
13 Aug 1975,118.6645
14 Aug 1975,118.5591
15 Aug 1975,118.4962
18 Aug 1975,118.4328
19 Aug 1975,118.2734
20 Aug 1975,118.3595
21 Aug 1975,118.4018
22 Aug 1975,118.5132
26 Aug 1975,118.6698
27 Aug 1975,118.691
28 Aug 1975,118.7558
29 Aug 1975,118.8445
01 Sep 1975,118.9409
02 Sep 1975,118.8977
03 Sep 1975,118.7871
04 Sep 1975,118.9127
05 Sep 1975,118.9842
08 Sep 1975,119.022
09 Sep 1975,119.0114
10 Sep 1975,119.0949
11 Sep 1975,119.0955
12 Sep 1975,119.2476
15 Sep 1975,119.3301
16 Sep 1975,119.7117
17 Sep 1975,119.9906
18 Sep 1975,120.3571
19 Sep 1975,120.5517
22 Sep 1975,121.0762
23 Sep 1975,121.6259
24 Sep 1975,121.423
25 Sep 1975,121.1019
26 Sep 1975,121.1706
29 Sep 1975,121.505
30 Sep 1975,121.1336
01 Oct 1975,120.7024
02 Oct 1975,120.6687
03 Oct 1975,121.0033
06 Oct 1975,120.7288
07 Oct 1975,120.5
08 Oct 1975,120.6182
09 Oct 1975,120.457
10 Oct 1975,120.113
13 Oct 1975,119.7999
14 Oct 1975,120.3
15 Oct 1975,119.8525
16 Oct 1975,119.7295
17 Oct 1975,119.8216
20 Oct 1975,119.7581
21 Oct 1975,119.5003
22 Oct 1975,119.3924
23 Oct 1975,119.6326
24 Oct 1975,119.658
27 Oct 1975,119.7079
28 Oct 1975,119.8338
29 Oct 1975,119.8614
30 Oct 1975,119.5512
31 Oct 1975,119.6651
03 Nov 1975,119.6773
04 Nov 1975,119.897
05 Nov 1975,120.0181
06 Nov 1975,119.8336
07 Nov 1975,119.9213
10 Nov 1975,119.9979
11 Nov 1975,120.1349
12 Nov 1975,120.0706
13 Nov 1975,120.2594
14 Nov 1975,120.5051
17 Nov 1975,120.906
18 Nov 1975,120.9456
19 Nov 1975,120.8557
20 Nov 1975,120.5952
21 Nov 1975,120.8147
24 Nov 1975,120.8747
25 Nov 1975,120.8136
26 Nov 1975,120.9214
27 Nov 1975,121.1507
28 Nov 1975,121.3206
01 Dec 1975,121.3848
02 Dec 1975,121.244
03 Dec 1975,121.3348
04 Dec 1975,121.2797
05 Dec 1975,121.5521
08 Dec 1975,121.5781
09 Dec 1975,121.5932
10 Dec 1975,121.5406
11 Dec 1975,121.5051
12 Dec 1975,121.4848
15 Dec 1975,121.6102
16 Dec 1975,121.5981
17 Dec 1975,121.5153
18 Dec 1975,121.4514
19 Dec 1975,121.4218
22 Dec 1975,121.386
23 Dec 1975,121.3259
24 Dec 1975,121.3189
29 Dec 1975,121.3265
30 Dec 1975,121.2582
31 Dec 1975,121.2842
02 Jan 1976,121.2556
05 Jan 1976,120.9857
06 Jan 1976,121.0389
07 Jan 1976,120.9476
08 Jan 1976,121.1273
09 Jan 1976,121.216
12 Jan 1976,121.1884
13 Jan 1976,121.4292
14 Jan 1976,121.3997
15 Jan 1976,121.5429
16 Jan 1976,121.4561
19 Jan 1976,121.3238
20 Jan 1976,121.4056
21 Jan 1976,121.7824
22 Jan 1976,121.9251
23 Jan 1976,121.8832
26 Jan 1976,121.8406
27 Jan 1976,121.8054
28 Jan 1976,121.8231
29 Jan 1976,121.8759
30 Jan 1976,121.8765
02 Feb 1976,121.7171
03 Feb 1976,121.7568
04 Feb 1976,121.3683
05 Feb 1976,121.5392
06 Feb 1976,121.6321
09 Feb 1976,121.6188
10 Feb 1976,121.6054
11 Feb 1976,121.4228
12 Feb 1976,121.442
13 Feb 1976,121.616
16 Feb 1976,121.8242
17 Feb 1976,121.9243
18 Feb 1976,121.9226
19 Feb 1976,121.9254
20 Feb 1976,122.1287
23 Feb 1976,122.3029
24 Feb 1976,122.2215
25 Feb 1976,122.2444
26 Feb 1976,122.3237
27 Feb 1976,122.4045
01 Mar 1976,122.3857
02 Mar 1976,122.4131
03 Mar 1976,122.4378
04 Mar 1976,122.5994
05 Mar 1976,122.6725
08 Mar 1976,122.9401
09 Mar 1976,123.0919
10 Mar 1976,123.3346
11 Mar 1976,123.4172
12 Mar 1976,123.3845
15 Mar 1976,123.5564
16 Mar 1976,123.8711
17 Mar 1976,123.6822
18 Mar 1976,123.5481
19 Mar 1976,123.4357
22 Mar 1976,123.431
23 Mar 1976,123.4665
24 Mar 1976,123.4302
25 Mar 1976,123.4264
26 Mar 1976,123.5321
29 Mar 1976,123.5501
30 Mar 1976,123.3947
31 Mar 1976,123.394
01 Apr 1976,123.4269
02 Apr 1976,123.7338
05 Apr 1976,123.7765
06 Apr 1976,123.8055
07 Apr 1976,123.886
08 Apr 1976,123.8374
09 Apr 1976,124.062
12 Apr 1976,124.2328
13 Apr 1976,123.9505
14 Apr 1976,123.6454
15 Apr 1976,123.688
20 Apr 1976,123.9643
21 Apr 1976,124.1233
22 Apr 1976,124.2119
23 Apr 1976,124.2391
26 Apr 1976,124.3668
27 Apr 1976,124.2862
28 Apr 1976,124.2225
29 Apr 1976,124.1386
30 Apr 1976,124.2373
03 May 1976,124.2651
04 May 1976,124.1615
05 May 1976,124.2774
06 May 1976,124.019
07 May 1976,123.926
10 May 1976,123.8457
11 May 1976,123.9376
12 May 1976,124.0863
13 May 1976,124.1539
14 May 1976,124.2851
17 May 1976,124.5614
18 May 1976,124.487
19 May 1976,124.528
20 May 1976,124.523
21 May 1976,124.8143
24 May 1976,124.7154
25 May 1976,124.7393
26 May 1976,124.9529
27 May 1976,124.8587
28 May 1976,125.0912
01 Jun 1976,125.3013
02 Jun 1976,125.3684
03 Jun 1976,125.5298
04 Jun 1976,125.5404
07 Jun 1976,125.1775
08 Jun 1976,125.0228
09 Jun 1976,124.9741
10 Jun 1976,125.0807
11 Jun 1976,125.0739
14 Jun 1976,125.0756
15 Jun 1976,125.0587
16 Jun 1976,125.1013
17 Jun 1976,125.236
18 Jun 1976,125.1671
21 Jun 1976,125.2626
22 Jun 1976,125.2402
23 Jun 1976,125.0003
24 Jun 1976,125.0759
25 Jun 1976,125.1662
28 Jun 1976,124.8247
29 Jun 1976,124.6881
30 Jun 1976,124.9447
01 Jul 1976,124.7738
02 Jul 1976,124.7275
05 Jul 1976,124.6123
06 Jul 1976,124.6399
07 Jul 1976,124.6654
08 Jul 1976,124.7077
09 Jul 1976,124.9338
12 Jul 1976,124.8047
13 Jul 1976,124.6394
14 Jul 1976,124.2424
15 Jul 1976,124.2867
16 Jul 1976,124.5731
19 Jul 1976,124.5383
20 Jul 1976,124.4468
21 Jul 1976,124.5395
22 Jul 1976,124.4858
23 Jul 1976,124.6324
26 Jul 1976,124.5932
27 Jul 1976,124.5318
28 Jul 1976,124.3303
29 Jul 1976,124.2775
30 Jul 1976,124.1602
02 Aug 1976,123.9062
03 Aug 1976,123.94
