Date,Rate,High (est),Low (est)
2015-07-27,1.55403,0.0,0.0
2015-07-24,1.55885,0.0,0.0
2015-07-23,1.55816,1.5755,1.541
2015-07-22,1.55695,0.0,0.0
2015-07-21,1.55905,1.5781,1.5402
2015-07-20,1.56091,0.0,0.0
2015-07-17,1.56233,0.0,0.0
2015-07-16,1.55978,1.5785,1.5412
2015-07-15,1.55287,1.5705,1.5354
2015-07-14,1.54663,0.0,0.0
2015-07-13,1.54663,1.5642,1.5292
2015-07-10,1.53873,1.557,1.5206
2015-07-09,1.54446,1.5625,1.5267
2015-07-08,1.55381,1.5715,1.5363
2015-07-07,1.55713,1.5756,1.5389
2015-07-06,1.55836,1.5765,1.5404
2015-07-03,1.56273,1.5822,1.5435
2015-07-02,1.56877,1.5876,1.5502
2015-07-01,1.57245,0.0,0.0
2015-06-30,1.57299,0.0,0.0
2015-06-29,1.57349,1.5908,1.5563
2015-06-26,1.57233,1.5899,1.5549
2015-06-25,1.57493,1.5944,1.5557
2015-06-24,1.58016,1.5997,1.5609
2015-06-23,1.58645,0.0,0.0
2015-06-22,1.58739,1.6052,1.5697
2015-06-19,1.58019,0.0,0.0
2015-06-18,1.56671,1.5853,1.5484
2015-06-17,1.55888,1.5771,1.5409
2015-06-16,1.55524,1.5741,1.5366
2015-06-15,1.55339,0.0,0.0
2015-06-12,1.54761,1.5649,1.5305
2015-06-11,1.54077,0.0,0.0
2015-06-10,1.53155,0.0,0.0
2015-06-09,1.52748,1.5458,1.5094
2015-06-08,1.53019,1.5475,1.5131
2015-06-05,1.53468,1.5537,1.5159
2015-06-04,1.53012,1.5479,1.5125
2015-06-03,1.52518,1.5439,1.5067
2015-06-02,1.52632,1.5447,1.5081
2015-06-01,1.53062,1.5481,1.5133
2015-05-29,1.53451,1.5516,1.5177
2015-05-28,1.53931,0.0,0.0
2015-05-27,1.54428,0.0,0.0
2015-05-26,1.54816,0.0,0.0
2015-05-25,1.55347,1.571,1.5362
2015-05-22,1.55764,0.0,0.0
2015-05-21,1.55444,0.0,0.0
2015-05-20,1.56167,1.5811,1.5424
2015-05-19,1.57068,0.0,0.0
2015-05-18,1.57404,0.0,0.0
2015-05-15,1.5737,0.0,0.0
2015-05-14,1.56703,1.5855,1.5487
2015-05-13,1.55743,1.5755,1.5396
2015-05-12,1.54683,0.0,0.0
2015-05-11,1.53675,1.5555,1.5182
2015-05-08,1.52238,1.5394,1.5056
2015-05-07,1.51847,0.0,0.0
2015-05-06,1.51397,0.0,0.0
2015-05-05,1.51372,0.0,0.0
2015-05-04,1.52382,1.5407,1.5071
2015-05-01,1.53934,0.0,0.0
2015-04-30,1.53383,1.5511,1.5167
2015-04-29,1.52345,1.5407,1.5064
2015-04-28,1.51825,1.5362,1.5005
2015-04-27,1.51274,1.5299,1.4957
2015-04-24,1.50131,1.5196,1.4833
2015-04-23,1.49563,1.5129,1.4785
2015-04-22,1.49157,0.0,0.0
2015-04-21,1.49467,1.5116,1.4779
2015-04-20,1.49311,1.5099,1.4765
2015-04-17,1.484,1.5017,1.4665
2015-04-16,1.47464,1.4912,1.4582
2015-04-15,1.46754,0.0,0.0
2015-04-14,1.46326,0.0,0.0
2015-04-13,1.46992,0.0,0.0
2015-04-10,1.48364,0.0,0.0
2015-04-09,1.48786,0.0,0.0
2015-04-08,1.48964,1.5074,1.4721
2015-04-07,1.49246,0.0,0.0
2015-04-06,1.48833,0.0,0.0
2015-04-03,1.48272,1.5004,1.4652
2015-04-02,1.48169,1.4997,1.4639
2015-04-01,1.4815,1.4997,1.4635
2015-03-31,1.48508,1.5024,1.468
2015-03-30,1.48809,1.5058,1.4706
2015-03-27,1.48824,1.5063,1.4704
2015-03-26,1.48903,1.5071,1.4712
2015-03-25,1.49203,1.5098,1.4744
2015-03-24,1.49376,1.5121,1.4757
2015-03-23,1.4916,0.0,0.0
2015-03-20,1.48139,0.0,0.0
2015-03-19,1.47637,0.0,0.0
2015-03-18,1.47878,1.4965,1.4613
2015-03-17,1.47694,1.4936,1.4604
2015-03-16,1.48143,1.4989,1.4642
2015-03-13,1.49687,1.5155,1.4784
2015-03-12,1.50521,0.0,0.0
2015-03-11,1.50851,1.5257,1.4915
2015-03-10,1.50685,0.0,0.0
2015-03-09,1.51125,1.5298,1.4929
2015-03-06,1.52758,1.546,1.5094
2015-03-05,1.53443,1.5525,1.5166
2015-03-04,1.53801,1.5563,1.5199
2015-03-03,1.54117,0.0,0.0
2015-03-02,1.54594,1.563,1.5291
2015-02-27,1.54932,0.0,0.0
2015-02-26,1.54729,1.5647,1.5301
2015-02-25,1.54288,1.5603,1.5257
2015-02-24,1.53992,0.0,0.0
2015-02-23,1.54137,0.0,0.0
2015-02-20,1.54201,0.0,0.0
2015-02-19,1.53795,0.0,0.0
2015-02-18,1.5376,0.0,0.0
2015-02-17,1.536,0.0,0.0
2015-02-16,1.536,1.5548,1.5175
2015-02-13,1.52809,1.5466,1.5098
2015-02-12,1.52504,1.5433,1.507
2015-02-11,1.52358,0.0,0.0
2015-02-10,1.52388,1.5416,1.5064
2015-02-09,1.52409,1.5426,1.5058
2015-02-06,1.52187,1.5389,1.5051
2015-02-05,1.51404,1.5309,1.4974
2015-02-04,1.50619,0.0,0.0
2015-02-03,1.50583,0.0,0.0
2015-02-02,1.50854,1.5253,1.4919
2015-01-30,1.51412,1.532,1.4965
2015-01-29,1.51596,1.5339,1.4983
2015-01-28,1.50883,1.5263,1.4915
2015-01-27,1.50138,1.5196,1.4833
2015-01-26,1.50393,1.5214,1.4867
2015-01-23,1.51284,1.5304,1.4955
2015-01-22,1.51317,0.0,0.0
2015-01-21,1.51322,0.0,0.0
2015-01-20,1.51437,1.5318,1.4972
2015-01-19,1.51704,1.535,1.4993
2015-01-16,1.52047,0.0,0.0
2015-01-15,1.51765,0.0,0.0
2015-01-14,1.51321,0.0,0.0
2015-01-13,1.51321,0.0,0.0
2015-01-12,1.51321,1.5314,1.4952
2015-01-09,1.50998,1.5272,1.493
2015-01-08,1.51603,0.0,0.0
2015-01-07,1.52384,1.5411,1.5068
2015-01-06,1.52926,1.5462,1.5125
2015-01-05,1.54195,1.5599,1.5242
2015-01-02,1.55758,0.0,0.0
2015-01-01,1.55586,1.5733,1.5386
2014-12-31,1.55408,0.0,0.0
2014-12-30,1.55546,0.0,0.0
2014-12-29,1.55582,0.0,0.0
2014-12-26,1.55509,1.5744,1.536
2014-12-25,1.55431,0.0,0.0
2014-12-24,1.55833,0.0,0.0
2014-12-23,1.56265,0.0,0.0
2014-12-22,1.56237,0.0,0.0
2014-12-19,1.56488,1.5821,1.5478
2014-12-18,1.56988,1.5876,1.5524
2014-12-17,1.56892,0.0,0.0
2014-12-16,1.56984,0.0,0.0
2014-12-15,1.57109,1.5887,1.5537
2014-12-12,1.56965,1.5873,1.5522
2014-12-11,1.56742,1.5859,1.5492
2014-12-10,1.56341,0.0,0.0
2014-12-09,1.55917,1.5786,1.54
2014-12-08,1.5618,1.5805,1.5433
2014-12-05,1.56738,0.0,0.0
2014-12-04,1.56745,0.0,0.0
2014-12-03,1.56877,1.5873,1.5505
2014-12-02,1.56651,1.5849,1.5484
2014-12-01,1.5692,1.5875,1.5511
2014-11-28,1.57576,1.5947,1.557
2014-11-27,1.57212,1.5901,1.5543
2014-11-26,1.56836,1.5878,1.5492
2014-11-25,1.56646,0.0,0.0
2014-11-24,1.56654,1.5841,1.5491
2014-11-21,1.56674,1.5849,1.5488
2014-11-20,1.56459,0.0,0.0
2014-11-19,1.56559,0.0,0.0
2014-11-18,1.56674,1.5852,1.5485
2014-11-17,1.57004,1.5879,1.5524
2014-11-14,1.57982,1.5986,1.5613
2014-11-13,1.58701,1.6062,1.568
2014-11-12,1.58708,1.6067,1.5677
2014-11-11,1.58803,0.0,0.0
2014-11-10,1.58976,0.0,0.0
2014-11-07,1.59493,1.6131,1.577
2014-11-06,1.59796,0.0,0.0
2014-11-05,1.59885,0.0,0.0
2014-11-04,1.59867,0.0,0.0
2014-11-03,1.59966,0.0,0.0
2014-10-31,1.6044,0.0,0.0
2014-10-30,1.61238,1.6312,1.5938
2014-10-29,1.61236,1.6314,1.5936
2014-10-28,1.61017,0.0,0.0
2014-10-27,1.60704,1.6266,1.5877
2014-10-24,1.60521,1.6235,1.5872
2014-10-23,1.61089,0.0,0.0
2014-10-22,1.61422,1.6336,1.595
2014-10-21,1.61109,0.0,0.0
2014-10-20,1.60626,1.6249,1.5878
2014-10-17,1.59782,1.6154,1.5804
2014-10-16,1.59506,1.6127,1.5776
2014-10-15,1.60319,0.0,0.0
2014-10-14,1.60841,1.6285,1.5886
2014-10-13,1.61093,1.6304,1.5917
2014-10-10,1.61341,0.0,0.0
2014-10-09,1.60804,1.6259,1.5904
2014-10-08,1.60437,0.0,0.0
2014-10-07,1.59846,1.6167,1.5805
2014-10-06,1.60438,1.6226,1.5863
2014-10-03,1.61826,0.0,0.0
2014-10-02,1.62102,0.0,0.0
2014-10-01,1.62331,1.6415,1.6053
2014-09-30,1.62439,0.0,0.0
2014-09-29,1.62759,0.0,0.0
2014-09-26,1.63389,1.6532,1.6148
2014-09-25,1.63779,1.6581,1.6177
2014-09-24,1.63625,1.6546,1.6181
2014-09-23,1.63209,1.651,1.6134
2014-09-22,1.62991,0.0,0.0
2014-09-19,1.63082,0.0,0.0
2014-09-18,1.6269,1.6458,1.6082
2014-09-17,1.62326,1.6421,1.6046
2014-09-16,1.62533,0.0,0.0
2014-09-15,1.625,0.0,0.0
2014-09-12,1.61888,0.0,0.0
2014-09-11,1.6121,1.6308,1.5936
2014-09-10,1.61242,0.0,0.0
2014-09-09,1.62236,1.642,1.6029
2014-09-08,1.6364,1.6552,1.6178
2014-09-05,1.6441,1.6638,1.6246
2014-09-04,1.64968,0.0,0.0
2014-09-03,1.65695,1.6766,1.6375
2014-09-02,1.66052,0.0,0.0
2014-09-01,1.65939,0.0,0.0
2014-08-29,1.6579,1.677,1.639
2014-08-28,1.65697,1.6752,1.6389
2014-08-27,1.65729,1.6758,1.639
2014-08-26,1.65717,1.6764,1.6382
2014-08-25,1.65777,1.6775,1.6383
2014-08-22,1.66001,1.6791,1.6411
2014-08-21,1.6643,0.0,0.0
2014-08-20,1.66933,0.0,0.0
2014-08-19,1.67142,0.0,0.0
2014-08-18,1.669,0.0,0.0
2014-08-15,1.67137,0.0,0.0
2014-08-14,1.67687,1.6971,1.6569
2014-08-13,1.67848,0.0,0.0
2014-08-12,1.67805,1.6982,1.6581
2014-08-11,1.6802,1.699,1.6616
2014-08-08,1.68497,0.0,0.0
2014-08-07,1.68609,0.0,0.0
2014-08-06,1.68546,1.7043,1.6668
2014-08-05,1.68297,0.0,0.0
2014-08-04,1.68518,0.0,0.0
2014-08-01,1.69094,1.71,1.6721
2014-07-31,1.69425,1.7139,1.6748
2014-07-30,1.69707,1.7183,1.6761
2014-07-29,1.69808,1.7176,1.6788
2014-07-28,1.69915,0.0,0.0
2014-07-25,1.70296,0.0,0.0
2014-07-24,1.70595,1.7258,1.6863
2014-07-23,1.70729,1.7284,1.6864
2014-07-22,1.70833,1.7286,1.6882
2014-07-21,1.71002,1.7304,1.6899
2014-07-18,1.71257,1.7336,1.6918
2014-07-17,1.71287,0.0,0.0
2014-07-16,1.71123,0.0,0.0
2014-07-15,1.71087,1.7305,1.6915
2014-07-14,1.71237,0.0,0.0
2014-07-11,1.71338,0.0,0.0
2014-07-10,1.71283,1.734,1.6919
2014-07-09,1.7131,1.7332,1.6933
2014-07-08,1.71468,0.0,0.0
2014-07-07,1.71572,1.7368,1.6948
2014-07-04,1.71531,1.7351,1.6957
2014-07-03,1.71447,1.7344,1.6948
2014-07-02,1.70996,1.73,1.6902
2014-07-01,1.70468,1.7241,1.6854
2014-06-30,1.70248,0.0,0.0
2014-06-27,1.69942,1.7183,1.6807
2014-06-26,1.69884,0.0,0.0
2014-06-25,1.70115,0.0,0.0
2014-06-24,1.70185,0.0,0.0
2014-06-23,1.70145,0.0,0.0
2014-06-20,1.69949,0.0,0.0
2014-06-19,1.69627,1.7162,1.6766
2014-06-18,1.6973,1.7176,1.6772
2014-06-17,1.69758,0.0,0.0
2014-06-16,1.69149,1.7117,1.6715
2014-06-13,1.68007,0.0,0.0
2014-06-12,1.67773,0.0,0.0
2014-06-11,1.67934,0.0,0.0
2014-06-10,1.68039,1.699,1.662
2014-06-09,1.67882,0.0,0.0
2014-06-06,1.67558,1.6965,1.655
2014-06-05,1.67417,1.6939,1.6547
2014-06-04,1.67496,1.6955,1.6546
2014-06-03,1.67515,1.6952,1.6553
2014-06-02,1.6741,0.0,0.0
2014-05-30,1.67354,1.6928,1.6545
2014-05-29,1.67896,1.6994,1.6587
2014-05-28,1.68363,0.0,0.0
2014-05-27,1.68377,0.0,0.0
2014-05-26,1.68516,0.0,0.0
2014-05-23,1.68742,1.7068,1.6682
2014-05-22,1.68506,0.0,0.0
2014-05-21,1.68255,1.7012,1.6641
2014-05-20,1.68211,0.0,0.0
2014-05-19,1.68002,0.0,0.0
2014-05-16,1.67864,0.0,0.0
2014-05-15,1.68273,0.0,0.0
2014-05-14,1.68595,1.7055,1.6667
2014-05-13,1.68635,1.7059,1.667
2014-05-12,1.68905,1.7086,1.6697
2014-05-09,1.69597,0.0,0.0
2014-05-08,1.69562,1.7164,1.675
2014-05-07,1.69088,1.7103,1.6716
2014-05-06,1.68721,0.0,0.0
2014-05-05,1.68787,1.7077,1.6683
2014-05-02,1.68686,0.0,0.0
2014-05-01,1.68323,0.0,0.0
2014-04-30,1.68179,1.7027,1.6612
2014-04-29,1.681,0.0,0.0
2014-04-28,1.67985,0.0,0.0
2014-04-25,1.67955,1.6991,1.6602
2014-04-24,1.68073,1.6993,1.6624
2014-04-23,1.68067,0.0,0.0
2014-04-22,1.67957,1.6997,1.6596
2014-04-21,1.67986,0.0,0.0
2014-04-18,1.67972,1.7002,1.6595
2014-04-17,1.67497,1.6954,1.6548
2014-04-16,1.67243,0.0,0.0
2014-04-15,1.67288,0.0,0.0
2014-04-14,1.6752,0.0,0.0
2014-04-11,1.67741,1.6976,1.6575
2014-04-10,1.67241,1.6918,1.6532
2014-04-09,1.6642,0.0,0.0
2014-04-08,1.65828,1.6767,1.64
2014-04-07,1.65908,0.0,0.0
2014-04-04,1.66222,0.0,0.0
2014-04-03,1.6641,1.6826,1.6458
2014-04-02,1.66499,1.6837,1.6465
2014-04-01,1.66451,1.6845,1.6448
2014-03-31,1.66237,0.0,0.0
2014-03-28,1.65778,0.0,0.0
2014-03-27,1.65297,0.0,0.0
2014-03-26,1.64995,0.0,0.0
2014-03-25,1.65031,0.0,0.0
2014-03-24,1.65031,0.0,0.0
2014-03-21,1.65538,1.6741,1.6369
2014-03-20,1.66056,1.6807,1.6406
2014-03-19,1.66205,1.6825,1.6419
2014-03-18,1.66411,0.0,0.0
2014-03-17,1.66502,0.0,0.0
2014-03-14,1.66384,1.6822,1.6456
2014-03-13,1.66219,1.6816,1.643
2014-03-12,1.66513,1.6859,1.6446
2014-03-11,1.66986,0.0,0.0
2014-03-10,1.67194,0.0,0.0
2014-03-07,1.67107,1.691,1.6514
2014-03-06,1.66831,1.6875,1.6493
2014-03-05,1.66906,1.6898,1.6486
2014-03-04,1.67306,1.693,1.6534
2014-03-03,1.67128,0.0,0.0
2014-02-28,1.66668,1.6867,1.6469
2014-02-27,1.66725,1.6873,1.6474
2014-02-26,1.66634,1.6857,1.6472
2014-02-25,1.66309,0.0,0.0
2014-02-24,1.66343,1.684,1.6431
2014-02-21,1.66744,1.6869,1.6482
2014-02-20,1.66953,1.6887,1.6506
2014-02-19,1.6723,0.0,0.0
2014-02-18,1.67483,1.6949,1.655
2014-02-17,1.67003,0.0,0.0
2014-02-14,1.65831,1.679,1.6379
2014-02-13,1.64739,0.0,0.0
2014-02-12,1.6422,0.0,0.0
2014-02-11,1.64083,0.0,0.0
2014-02-10,1.63736,0.0,0.0
2014-02-07,1.63102,0.0,0.0
2014-02-06,1.63102,1.6504,1.6119
2014-02-05,1.63349,0.0,0.0
2014-02-04,1.64028,0.0,0.0
2014-02-03,1.6469,1.6667,1.6273
2014-01-31,1.65375,1.6739,1.6338
2014-01-30,1.65765,1.6769,1.6386
2014-01-29,1.6566,1.6757,1.6377
2014-01-28,1.65144,1.6701,1.633
2014-01-27,1.65254,0.0,0.0
2014-01-24,1.65613,0.0,0.0
2014-01-23,1.64906,1.6696,1.6288
2014-01-22,1.64345,0.0,0.0
