Date,Rate,High (est),Low (est)
2015-07-27,6.90827,6.9883,6.8292
2015-07-24,6.92411,7.001,6.8481
2015-07-23,6.95652,7.0368,6.8771
2015-07-22,6.99228,7.0735,6.912
2015-07-21,7.00483,7.0846,6.9259
2015-07-20,6.98407,0.0,0.0
2015-07-17,6.93174,7.0113,6.8531
2015-07-16,6.89127,6.976,6.8076
2015-07-15,6.86798,6.9534,6.7836
2015-07-14,6.82351,6.9066,6.7414
2015-07-13,6.81086,6.8924,6.7303
2015-07-10,6.8557,0.0,0.0
2015-07-09,6.87699,6.9545,6.8003
2015-07-08,6.88406,6.9681,6.801
2015-07-07,6.85642,6.9387,6.7751
2015-07-06,6.84024,6.9257,6.7559
2015-07-03,6.84815,6.9299,6.7673
2015-07-02,6.81555,0.0,0.0
2015-07-01,6.80585,6.8897,6.723
2015-06-30,6.81937,6.9012,6.7385
2015-06-29,6.7849,6.8611,6.7095
2015-06-26,6.77512,6.8569,6.6943
2015-06-25,6.76085,6.8434,6.6793
2015-06-24,6.70653,6.7875,6.6265
2015-06-23,6.66586,6.7491,6.5836
2015-06-22,6.67161,6.7524,6.5918
2015-06-19,6.68566,6.765,6.6072
2015-06-18,6.72793,6.8067,6.6501
2015-06-17,6.72819,0.0,0.0
2015-06-16,6.72806,0.0,0.0
2015-06-15,6.71562,0.0,0.0
2015-06-12,6.69207,6.7727,6.6124
2015-06-11,6.68505,0.0,0.0
2015-06-10,6.721,6.7994,6.6436
2015-06-09,6.777,0.0,0.0
2015-06-08,6.76057,0.0,0.0
2015-06-05,6.72752,0.0,0.0
2015-06-04,6.80711,0.0,0.0
2015-06-03,6.89157,0.0,0.0
2015-06-02,6.90617,0.0,0.0
2015-06-01,6.90526,6.9886,6.8229
2015-05-29,6.94633,0.0,0.0
2015-05-28,6.93993,7.0196,6.8612
2015-05-27,6.89918,6.9759,6.8233
2015-05-26,6.8642,0.0,0.0
2015-05-25,6.82974,6.9142,6.7463
2015-05-22,6.77514,6.8541,6.6971
2015-05-21,6.75011,6.83,6.6712
2015-05-20,6.67505,6.7548,6.5963
2015-05-19,6.59843,0.0,0.0
2015-05-18,6.59667,6.6739,6.5203
2015-05-15,6.66542,0.0,0.0
2015-05-14,6.72707,0.0,0.0
2015-05-13,6.75773,6.8337,6.6826
2015-05-12,6.76027,6.844,6.6775
2015-05-11,6.72667,6.8019,6.6522
2015-05-08,6.70855,6.7895,6.6286
2015-05-07,6.7626,0.0,0.0
2015-05-06,6.79929,6.8742,6.7252
2015-05-05,6.78043,6.864,6.6979
2015-05-04,6.77308,0.0,0.0
2015-05-01,6.81929,6.899,6.7405
2015-04-30,6.90311,6.9803,6.8268
2015-04-29,6.96982,0.0,0.0
2015-04-28,7.00192,0.0,0.0
2015-04-27,7.02582,0.0,0.0
2015-04-24,7.05374,7.1394,6.9691
2015-04-23,7.05691,7.1417,6.9731
2015-04-22,7.04902,0.0,0.0
2015-04-21,7.01956,7.103,6.9371
2015-04-20,7.02939,7.1136,6.9462
2015-04-17,7.09339,7.1757,7.012
2015-04-16,7.1348,7.2204,7.0502
2015-04-15,7.14926,7.2365,7.0631
2015-04-14,7.14928,7.2316,7.0679
2015-04-13,7.11689,0.0,0.0
2015-04-10,7.05831,7.1451,6.9726
2015-04-09,7.0139,0.0,0.0
2015-04-08,6.98115,7.0616,6.9016
2015-04-07,6.95105,0.0,0.0
2015-04-06,6.99197,0.0,0.0
2015-04-03,7.07376,7.1523,6.9961
2015-04-02,7.10117,7.1871,7.0163
2015-04-01,7.07809,7.1618,6.9954
2015-03-31,7.0288,7.1118,6.9468
2015-03-30,6.99219,0.0,0.0
2015-03-27,6.98252,7.062,6.9039
2015-03-26,6.98845,7.075,6.9029
2015-03-25,7.00332,7.0884,6.9193
2015-03-24,7.04013,0.0,0.0
2015-03-23,7.08611,7.1645,7.0086
2015-03-20,7.15028,7.2374,7.0642
2015-03-19,7.2014,0.0,0.0
2015-03-18,7.23051,0.0,0.0
2015-03-17,7.25424,7.3414,7.1681
2015-03-16,7.24966,7.3331,7.1671
2015-03-13,7.2026,7.2911,7.1151
2015-03-12,7.13182,0.0,0.0
2015-03-11,7.05036,7.1299,6.9717
2015-03-10,7.01185,7.0931,6.9315
2015-03-09,6.97568,0.0,0.0
2015-03-06,6.91035,0.0,0.0
2015-03-05,6.87433,6.9584,6.7913
2015-03-04,6.85786,0.0,0.0
2015-03-03,6.8547,6.9308,6.7795
2015-03-02,6.83125,6.9064,6.7569
2015-02-27,6.79356,0.0,0.0
2015-02-26,6.78978,0.0,0.0
2015-02-25,6.80062,6.8833,6.7189
2015-02-24,6.78772,6.8667,6.7096
2015-02-23,6.77729,6.8608,6.6948
2015-02-20,6.77906,0.0,0.0
2015-02-19,6.78147,0.0,0.0
2015-02-18,6.77636,6.8526,6.701
2015-02-17,6.76342,6.8383,6.6893
2015-02-16,6.77611,6.8549,6.6982
2015-02-13,6.8127,0.0,0.0
2015-02-12,6.82232,0.0,0.0
2015-02-11,6.81526,6.8956,6.7359
2015-02-10,6.80723,0.0,0.0
2015-02-09,6.79082,6.8753,6.7074
2015-02-06,6.75529,0.0,0.0
2015-02-05,6.7481,0.0,0.0
2015-02-04,6.77808,6.8579,6.6992
2015-02-03,6.80212,6.8823,6.7228
2015-02-02,6.81195,6.8908,6.734
2015-01-30,6.79828,0.0,0.0
2015-01-29,6.79109,0.0,0.0
2015-01-28,6.82796,0.0,0.0
2015-01-27,6.87834,6.958,6.7996
2015-01-26,6.82285,0.0,0.0
2015-01-23,6.66833,6.7439,6.5936
2015-01-22,6.65246,6.7316,6.5742
2015-01-21,6.6442,6.7239,6.5655
2015-01-20,6.64336,0.0,0.0
2015-01-19,6.64274,6.7218,6.5646
2015-01-16,6.57406,0.0,0.0
2015-01-15,6.49549,0.0,0.0
2015-01-14,6.49549,6.5745,6.4175
2015-01-13,6.48494,0.0,0.0
2015-01-12,6.48846,6.5688,6.4091
2015-01-09,6.49039,0.0,0.0
2015-01-08,6.45875,6.5301,6.3882
2015-01-07,6.43072,6.5035,6.3588
2015-01-06,6.41369,6.4909,6.3374
2015-01-05,6.3694,6.4458,6.2939
2015-01-02,6.32136,0.0,0.0
2015-01-01,6.30584,6.3787,6.2338
2014-12-31,6.29684,6.3688,6.2257
2014-12-30,6.28748,6.3639,6.2119
2014-12-29,6.28491,0.0,0.0
2014-12-26,6.28491,6.356,6.2146
2014-12-25,6.28214,0.0,0.0
2014-12-24,6.27002,6.3398,6.201
2014-12-23,6.26352,0.0,0.0
2014-12-22,6.25283,0.0,0.0
2014-12-19,6.20092,0.0,0.0
2014-12-18,6.15081,6.2261,6.0764
2014-12-17,6.14965,6.2263,6.074
2014-12-16,6.16394,6.2352,6.0935
2014-12-15,6.16542,0.0,0.0
2014-12-12,6.17621,6.251,6.1023
2014-12-11,6.1939,0.0,0.0
2014-12-10,6.22065,6.2965,6.1458
2014-12-09,6.24338,6.3197,6.168
2014-12-08,6.23576,6.3082,6.1641
2014-12-05,6.21893,6.2956,6.1432
2014-12-04,6.19953,0.0,0.0
2014-12-03,6.16874,6.2429,6.0954
2014-12-02,6.16482,6.2349,6.0955
2014-12-01,6.1609,0.0,0.0
2014-11-28,6.14724,0.0,0.0
2014-11-27,6.15552,0.0,0.0
2014-11-26,6.17297,0.0,0.0
2014-11-25,6.18925,6.2609,6.1184
2014-11-24,6.17173,6.2416,6.1026
2014-11-21,6.12219,6.1971,6.0482
2014-11-20,6.12914,0.0,0.0
2014-11-19,6.13941,6.2133,6.0664
2014-11-18,6.13219,6.2053,6.0599
2014-11-17,6.13287,6.2009,6.0656
2014-11-14,6.15421,0.0,0.0
2014-11-13,6.15663,0.0,0.0
2014-11-12,6.15869,0.0,0.0
2014-11-11,6.14947,0.0,0.0
2014-11-10,6.14947,6.2255,6.0744
2014-11-07,6.13756,6.2116,6.0644
2014-11-06,6.12148,6.1965,6.0474
2014-11-05,6.12753,0.0,0.0
2014-11-04,6.13202,0.0,0.0
2014-11-03,6.10048,0.0,0.0
2014-10-31,6.05099,6.1201,5.9827
2014-10-30,6.02557,6.0946,5.9573
2014-10-29,6.03694,6.1056,5.969
2014-10-28,6.04847,6.1201,5.9777
2014-10-27,6.05666,6.1321,5.9822
2014-10-24,6.05453,6.1255,5.9844
2014-10-23,6.02477,0.0,0.0
2014-10-22,6.00131,0.0,0.0
2014-10-21,6.00435,0.0,0.0
2014-10-20,5.99922,0.0,0.0
2014-10-17,6.00294,6.0761,5.9307
2014-10-16,6.03252,6.103,5.9628
2014-10-15,6.0332,0.0,0.0
2014-10-14,6.04287,6.1129,5.9737
2014-10-13,6.03561,0.0,0.0
2014-10-10,6.01684,0.0,0.0
2014-10-09,6.0414,0.0,0.0
2014-10-08,6.06382,0.0,0.0
2014-10-07,6.09272,6.1644,6.0219
2014-10-06,6.08013,0.0,0.0
2014-10-03,6.04814,0.0,0.0
2014-10-02,6.05201,6.1269,5.9781
2014-10-01,6.03019,6.0966,5.9645
2014-09-30,6.01543,6.085,5.9467
2014-09-29,6.00213,6.0748,5.9303
2014-09-26,5.96596,6.0329,5.8997
2014-09-25,5.93774,0.0,0.0
2014-09-24,5.93115,6.0049,5.8584
2014-09-23,5.9389,0.0,0.0
2014-09-22,5.93365,0.0,0.0
2014-09-19,5.90764,5.9785,5.8376
2014-09-18,5.88556,0.0,0.0
2014-09-17,5.88589,5.9509,5.8216
2014-09-16,5.88518,0.0,0.0
2014-09-15,5.88646,0.0,0.0
2014-09-12,5.89489,5.9684,5.8223
2014-09-11,5.8972,5.9663,5.8289
2014-09-10,5.90126,5.9736,5.8298
2014-09-09,5.89095,5.96,5.8227
2014-09-08,5.86617,5.9343,5.7988
2014-09-05,5.81439,0.0,0.0
2014-09-04,5.79701,5.8635,5.7313
2014-09-03,5.79918,0.0,0.0
2014-09-02,5.80035,5.8661,5.7353
2014-09-01,5.79484,5.8606,5.7299
2014-08-29,5.78547,5.8496,5.722
2014-08-28,5.78642,5.8535,5.7201
2014-08-27,5.78136,0.0,0.0
2014-08-26,5.77249,5.838,5.7077
2014-08-25,5.75469,0.0,0.0
2014-08-22,5.73718,0.0,0.0
2014-08-21,5.71669,5.7813,5.6528
2014-08-20,5.70149,0.0,0.0
2014-08-19,5.6946,0.0,0.0
2014-08-18,5.6967,0.0,0.0
2014-08-15,5.70672,0.0,0.0
2014-08-14,5.71148,5.7763,5.6474
2014-08-13,5.71383,0.0,0.0
2014-08-12,5.70634,5.7702,5.6432
2014-08-11,5.70779,5.7718,5.6445
2014-08-08,5.71932,5.7898,5.6497
2014-08-07,5.71498,5.7856,5.6453
2014-08-06,5.7014,0.0,0.0
2014-08-05,5.69295,5.7577,5.6289
2014-08-04,5.69451,5.7626,5.6272
2014-08-01,5.70285,0.0,0.0
2014-07-31,5.699,0.0,0.0
2014-07-30,5.68892,5.752,5.6266
2014-07-29,5.68344,5.7488,5.6189
2014-07-28,5.67478,0.0,0.0
2014-07-25,5.66005,0.0,0.0
2014-07-24,5.65179,0.0,0.0
2014-07-23,5.63808,0.0,0.0
2014-07-22,5.6313,0.0,0.0
2014-07-21,5.6313,0.0,0.0
2014-07-18,5.62958,5.6947,5.5652
2014-07-17,5.61483,0.0,0.0
2014-07-16,5.59656,0.0,0.0
2014-07-15,5.59358,5.6621,5.5259
2014-07-14,5.59272,5.6616,5.5247
2014-07-11,5.58577,5.6482,5.5241
2014-07-10,5.58394,0.0,0.0
2014-07-09,5.58372,0.0,0.0
2014-07-08,5.58372,5.6528,5.5155
2014-07-07,5.57611,5.6451,5.508
2014-07-04,5.55796,5.6241,5.4926
