"Daily BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","BHD/ALL","","","",""
"1999-12-31","351.1870",,,,
"1999-12-30","351.1870",,,,
"1999-12-29","351.1910",,,,
"1999-12-28","351.1750",,,,
"1999-12-27","351.1750",,,,
"1999-12-26","351.1750",,,,
"1999-12-25","351.1750",,,,
"1999-12-24","351.1750",,,,
"1999-12-23","351.1750",,,,
"1999-12-22","353.2970",,,,
"1999-12-21","356.4800",,,,
"1999-12-20","356.4850",,,,
"1999-12-19","356.4850",,,,
"1999-12-18","356.4800",,,,
"1999-12-17","356.4890",,,,
"1999-12-16","356.4800",,,,
"1999-12-15","357.9430",,,,
"1999-12-14","359.2650",,,,
"1999-12-13","356.4890",,,,
"1999-12-12","357.1790",,,,
"1999-12-11","357.1790",,,,
"1999-12-10","357.1790",,,,
"1999-12-09","357.1790",,,,
"1999-12-08","354.8980",,,,
"1999-12-07","354.8880",,,,
"1999-12-06","354.8880",,,,
"1999-12-05","354.8880",,,,
"1999-12-04","354.8880",,,,
"1999-12-03","354.8880",,,,
"1999-12-02","354.8880",,,,
"1999-12-01","354.8880",,,,
"1999-11-30","354.8880",,,,
"1999-11-29","354.8880",,,,
"1999-11-28","354.8880",,,,
"1999-11-27","354.8790",,,,
"1999-11-26","354.8790",,,,
"1999-11-25","354.2160",,,,
"1999-11-24","354.2160",,,,
"1999-11-23","354.2350",,,,
"1999-11-22","354.2350",,,,
"1999-11-21","354.2160",,,,
"1999-11-20","354.2350",,,,
"1999-11-19","354.2350",,,,
"1999-11-18","354.2350",,,,
"1999-11-17","354.6330",,,,
"1999-11-16","353.3060",,,,
"1999-11-15","353.3060",,,,
"1999-11-14","356.2240",,,,
"1999-11-13","356.2240",,,,
"1999-11-12","356.2240",,,,
"1999-11-11","355.4280",,,,
"1999-11-10","351.7150",,,,
"1999-11-09","351.7100",,,,
"1999-11-08","351.6960",,,,
"1999-11-07","351.6960",,,,
"1999-11-06","351.6960",,,,
"1999-11-05","351.6960",,,,
"1999-11-04","351.7050",,,,
"1999-11-03","352.4820",,,,
"1999-11-02","350.8910",,,,
"1999-11-01","351.8470",,,,
"1999-10-31","353.5620",,,,
"1999-10-30","353.5620",,,,
"1999-10-29","353.5720",,,,
"1999-10-28","351.9710",,,,
"1999-10-27","351.6960",,,,
"1999-10-26","349.5840",,,,
"1999-10-25","349.0530",,,,
"1999-10-24","348.7880",,,,
