"Daily BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","","BHD/MUR","","",""
"1999-12-31",,"67.3462",,,
"1999-12-30",,"67.3197",,,
"1999-12-29",,"67.2674",,,
"1999-12-28",,"67.2643",,,
"1999-12-27",,"67.2643",,,
"1999-12-26",,"67.2643",,,
"1999-12-25",,"67.2643",,,
"1999-12-24",,"67.2643",,,
"1999-12-23",,"67.2643",,,
"1999-12-22",,"67.2643",,,
"1999-12-21",,"67.2643",,,
"1999-12-20",,"67.2652",,,
"1999-12-19",,"67.2652",,,
"1999-12-18",,"67.2643",,,
"1999-12-17",,"67.2661",,,
"1999-12-16",,"67.2643",,,
"1999-12-15",,"67.2652",,,
"1999-12-14",,"67.2378",,,
"1999-12-13",,"67.2396",,,
"1999-12-12",,"67.2131",,,
"1999-12-11",,"67.2131",,,
"1999-12-10",,"67.2131",,,
"1999-12-09",,"67.2131",,,
"1999-12-08",,"67.1468",,,
"1999-12-07",,"67.1450",,,
"1999-12-06",,"67.1450",,,
"1999-12-05",,"67.1450",,,
"1999-12-04",,"67.1450",,,
"1999-12-03",,"67.1450",,,
"1999-12-02",,"67.1450",,,
"1999-12-01",,"67.1450",,,
"1999-11-30",,"67.1450",,,
"1999-11-29",,"67.1450",,,
"1999-11-28",,"67.1317",,,
"1999-11-27",,"67.1299",,,
"1999-11-26",,"67.1299",,,
"1999-11-25",,"67.1299",,,
"1999-11-24",,"67.0769",,,
"1999-11-23",,"67.0539",,,
"1999-11-22",,"67.0539",,,
"1999-11-21",,"67.0504",,,
"1999-11-20",,"67.0539",,,
"1999-11-19",,"67.0539",,,
"1999-11-18",,"67.0009",,,
"1999-11-17",,"67.0539",,,
"1999-11-16",,"67.0539",,,
"1999-11-15",,"67.0539",,,
"1999-11-14",,"67.0274",,,
"1999-11-13",,"67.0274",,,
"1999-11-12",,"67.0539",,,
"1999-11-11",,"67.0539",,,
"1999-11-10",,"67.0539",,,
"1999-11-09",,"67.0530",,,
"1999-11-08",,"67.0504",,,
"1999-11-07",,"67.0504",,,
"1999-11-06",,"67.0504",,,
"1999-11-05",,"67.0504",,,
"1999-11-04",,"66.9991",,,
"1999-11-03",,"66.9690",,,
"1999-11-02",,"66.9690",,,
"1999-11-01",,"66.9213",,,
"1999-10-31",,"66.9726",,,
"1999-10-30",,"66.9726",,,
"1999-10-29",,"66.9744",,,
"1999-10-28",,"66.9726",,,
"1999-10-27",,"66.9443",,,
"1999-10-26",,"66.8930",,,
"1999-10-25",,"66.8930",,,
"1999-10-24",,"66.8400",,,
"1999-10-23",,"66.8417",,,
"1999-10-22",,"66.8400",,,
"1999-10-21",,"66.8400",,,
"1999-10-20",,"66.8400",,,
"1999-10-19",,"66.8346",,,
"1999-10-18",,"66.8417",,,
"1999-10-17",,"66.8417",,,
"1999-10-16",,"66.8417",,,
"1999-10-15",,"66.8417",,,
"1999-10-14",,"66.8417",,,
"1999-10-13",,"66.8417",,,
"1999-10-12",,"66.8417",,,
"1999-10-11",,"66.8417",,,
"1999-10-10",,"66.8417",,,
"1999-10-09",,"66.8417",,,
"1999-10-08",,"66.8417",,,
"1999-10-07",,"66.8417",,,
"1999-10-06",,"66.8152",,,
"1999-10-05",,"66.8152",,,
"1999-10-04",,"66.8161",,,
"1999-10-03",,"66.8188",,,
"1999-10-02",,"66.8152",,,
"1999-10-01",,"66.8152",,,
"1999-09-30",,"66.8170",,,
"1999-09-29",,"66.8965",,,
"1999-09-28",,"66.8983",,,
"1999-09-27",,"66.8948",,,
"1999-09-26",,"66.8417",,,
"1999-09-25",,"66.8417",,,
"1999-09-24",,"66.8417",,,
"1999-09-23",,"66.8691",,,
"1999-09-22",,"66.8400",,,
"1999-09-21",,"66.8930",,,
"1999-09-20",,"66.8930",,,
"1999-09-19",,"66.8930",,,
"1999-09-18",,"66.8948",,,
"1999-09-17",,"66.8948",,,
"1999-09-16",,"66.8948",,,
"1999-09-15",,"66.9178",,,
"1999-09-14",,"66.9744",,,
"1999-09-13",,"66.8948",,,
"1999-09-12",,"66.8117",,,
"1999-09-11",,"66.8152",,,
"1999-09-10",,"66.8152",,,
"1999-09-09",,"66.7630",,,
"1999-09-08",,"66.7869",,,
"1999-09-07",,"66.7905",,,
"1999-09-06",,"66.7604",,,
"1999-09-05",,"66.7604",,,
"1999-09-04",,"66.7604",,,
"1999-09-03",,"66.7613",,,
"1999-09-02",,"66.7869",,,
"1999-09-01",,"66.8435",,,
"1999-08-31",,"66.8435",,,
"1999-08-30",,"66.8700",,,
"1999-08-29",,"66.8700",,,
"1999-08-28",,"66.8683",,,
"1999-08-27",,"66.8700",,,
"1999-08-26",,"66.8665",,,
"1999-08-25",,"66.8152",,,
"1999-08-24",,"66.8417",,,
"1999-08-23",,"66.7356",,,
"1999-08-22",,"66.7675",,,
"1999-08-21",,"66.7657",,,
"1999-08-20",,"66.7622",,,
"1999-08-19",,"66.7887",,,
"1999-08-18",,"66.7869",,,
"1999-08-17",,"66.7896",,,
"1999-08-16",,"66.8152",,,
"1999-08-15",,"66.7905",,,
"1999-08-14",,"66.7905",,,
"1999-08-13",,"66.7922",,,
"1999-08-12",,"66.7905",,,
"1999-08-11",,"66.7816",,,
"1999-08-10",,"66.7816",,,
"1999-08-09",,"66.7816",,,
"1999-08-08",,"66.7816",,,
"1999-08-07",,"66.7816",,,
"1999-08-06",,"66.7816",,,
"1999-08-05",,"66.7816",,,
"1999-08-04",,"66.7816",,,
"1999-08-03",,"66.7816",,,
"1999-08-02",,"66.7887",,,
"1999-08-01",,"66.8285",,,
"1999-07-31",,"66.8267",,,
"1999-07-30",,"66.8302",,,
"1999-07-29",,"66.7905",,,
"1999-07-28",,"66.7905",,,
"1999-07-27",,"66.7604",,,
"1999-07-26",,"66.8408",,,
"1999-07-25",,"66.8674",,,
"1999-07-24",,"66.8736",,,
"1999-07-23",,"66.8700",,,
"1999-07-22",,"66.8700",,,
"1999-07-21",,"66.8700",,,
"1999-07-20",,"66.8700",,,
"1999-07-19",,"66.8700",,,
"1999-07-18",,"66.8683",,,
"1999-07-17",,"66.8683",,,
"1999-07-16",,"66.1662",,,
"1999-07-15",,"66.8400",,,
"1999-07-14",,"66.8435",,,
"1999-07-13",,"66.8152",,,
"1999-07-12",,"66.8435",,,
"1999-07-11",,"66.8205",,,
"1999-07-10",,"66.8205",,,
"1999-07-09",,"66.8152",,,
"1999-07-08",,"66.8134",,,
"1999-07-07",,"66.8170",,,
"1999-07-06",,"66.8161",,,
"1999-07-05",,"66.8170",,,
"1999-07-04",,"66.6808",,,
"1999-07-03",,"66.6808",,,
"1999-07-02",,"66.6843",,,
"1999-07-01",,"66.6879",,,
"1999-06-30",,"66.6879",,,
"1999-06-29",,"66.6879",,,
"1999-06-28",,"66.6879",,,
"1999-06-27",,"66.6879",,,
"1999-06-26",,"66.6879",,,
"1999-06-25",,"66.6879",,,
"1999-06-24",,"66.7109",,,
"1999-06-23",,"66.7118",,,
"1999-06-22",,"66.7374",,,
"1999-06-21",,"66.7356",,,
"1999-06-20",,"66.7356",,,
"1999-06-19",,"66.7374",,,
"1999-06-18",,"66.7392",,,
"1999-06-17",,"66.7392",,,
"1999-06-16",,"66.6843",,,
"1999-06-15",,"66.6843",,,
"1999-06-14",,"66.6313",,,
"1999-06-13",,"66.6295",,,
"1999-06-12",,"66.6313",,,
"1999-06-11",,"66.6331",,,
"1999-06-10",,"66.6313",,,
"1999-06-09",,"66.6313",,,
"1999-06-08",,"66.6313",,,
"1999-06-07",,"66.6313",,,
"1999-06-06",,"66.6313",,,
"1999-06-05",,"66.6313",,,
"1999-06-04",,"66.6313",,,
"1999-06-03",,"66.6313",,,
"1999-06-02",,"66.6313",,,
"1999-06-01",,"66.6313",,,
"1999-05-31",,"66.6313",,,
"1999-05-30",,"66.6313",,,
"1999-05-29",,"66.6295",,,
"1999-05-28",,"66.6278",,,
"1999-05-27",,"66.6295",,,
"1999-05-26",,"66.4969",,,
"1999-05-25",,"66.4439",,,
"1999-05-24",,"66.4987",,,
"1999-05-23",,"66.4589",,,
"1999-05-22",,"66.4589",,,
"1999-05-21",,"66.4571",,,
"1999-05-20",,"66.3908",,,
"1999-05-19",,"66.3908",,,
"1999-05-18",,"66.3908",,,
"1999-05-17",,"66.3899",,,
"1999-05-16",,"66.3891",,,
"1999-05-15",,"66.3891",,,
"1999-05-14",,"66.3873",,,
"1999-05-13",,"66.4138",,,
"1999-05-12",,"66.4156",,,
"1999-05-11",,"66.3378",,,
"1999-05-10",,"66.3378",,,
"1999-05-09",,"66.3378",,,
"1999-05-08",,"66.3378",,,
"1999-05-07",,"66.3378",,,
"1999-05-06",,"66.3378",,,
"1999-05-05",,"66.3908",,,
"1999-05-04",,"66.4439",,,
"1999-05-03",,"66.4439",,,
"1999-05-02",,"66.3908",,,
"1999-05-01",,"66.3908",,,
"1999-04-30",,"66.3908",,,
"1999-04-29",,"66.3891",,,
"1999-04-28",,"66.3891",,,
"1999-04-27",,"66.4191",,,
"1999-04-26",,"66.4138",,,
"1999-04-25",,"66.4138",,,
"1999-04-24",,"66.4138",,,
"1999-04-23",,"66.4138",,,
"1999-04-22",,"66.4156",,,
"1999-04-21",,"66.4156",,,
"1999-04-20",,"66.3873",,,
"1999-04-19",,"66.3908",,,
"1999-04-18",,"66.3873",,,
"1999-04-17",,"66.3873",,,
"1999-04-16",,"66.3891",,,
"1999-04-15",,"66.2547",,,
"1999-04-14",,"66.2847",,,
"1999-04-13",,"66.2582",,,
"1999-04-12",,"66.3342",,,
"1999-04-11",,"66.3608",,,
"1999-04-10",,"66.3608",,,
"1999-04-09",,"66.3608",,,
"1999-04-08",,"66.3475",,,
"1999-04-07",,"66.3378",,,
"1999-04-06",,"66.3378",,,
"1999-04-05",,"66.3077",,,
"1999-04-04",,"66.3060",,,
"1999-04-03",,"66.3060",,,
"1999-04-02",,"66.3077",,,
"1999-04-01",,"66.3873",,,
"1999-03-31",,"66.4456",,,
"1999-03-30",,"66.4403",,,
"1999-03-29",,"66.4439",,,
"1999-03-28",,"66.3112",,,
"1999-03-27",,"66.3112",,,
"1999-03-26",,"66.3112",,,
"1999-03-25",,"66.2582",,,
"1999-03-24",,"66.2582",,,
"1999-03-23",,"66.2582",,,
"1999-03-22",,"66.2599",,,
"1999-03-21",,"66.1786",,,
"1999-03-20",,"66.1786",,,
"1999-03-19",,"66.1786",,,
"1999-03-18",,"66.1769",,,
"1999-03-17",,"66.1786",,,
"1999-03-16",,"66.2564",,,
"1999-03-15",,"66.1468",,,
"1999-03-14",,"66.0460",,,
"1999-03-13",,"66.0460",,,
"1999-03-12",,"66.0460",,,
"1999-03-11",,"66.1256",,,
"1999-03-10",,"66.2034",,,
"1999-03-09",,"65.9134",,,
"1999-03-08",,"66.2812",,,
"1999-03-07",,"66.2847",,,
"1999-03-06",,"66.2847",,,
"1999-03-05",,"66.2847",,,
"1999-03-04",,"66.2282",,,
"1999-03-03",,"66.2317",,,
"1999-03-02",,"66.2299",,,
"1999-03-01",,"66.0973",,,
"1999-02-28",,"66.0973",,,
"1999-02-27",,"66.0973",,,
"1999-02-26",,"66.0990",,,
"1999-02-25",,"66.1008",,,
"1999-02-24",,"66.0708",,,
"1999-02-23",,"66.0990",,,
"1999-02-22",,"66.0973",,,
"1999-02-21",,"65.9116",,,
"1999-02-20",,"65.9116",,,
"1999-02-19",,"65.9116",,,
"1999-02-18",,"65.8603",,,
"1999-02-17",,"65.9134",,,
"1999-02-16",,"65.9116",,,
"1999-02-15",,"65.9116",,,
"1999-02-14",,"65.9116",,,
"1999-02-13",,"65.9116",,,
"1999-02-12",,"65.9116",,,
"1999-02-11",,"65.8321",,,
"1999-02-10",,"65.8303",,,
"1999-02-09",,"65.8321",,,
"1999-02-08",,"65.8851",,,
"1999-02-07",,"65.8321",,,
"1999-02-06",,"65.8321",,,
"1999-02-05",,"65.8321",,,
"1999-02-04",,"65.9186",,,
"1999-02-03",,"65.8895",,,
"1999-02-02",,"65.9221",,,
"1999-02-01",,"65.8621",,,
"1999-01-31",,"65.8090",,,
"1999-01-30",,"65.8090",,,
"1999-01-29",,"65.8355",,,
"1999-01-28",,"65.8081",,,
"1999-01-27",,"65.7294",,,
"1999-01-26",,"65.6199",,,
"1999-01-25",,"65.6181",,,
"1999-01-24",,"65.6181",,,
"1999-01-23",,"65.6181",,,
"1999-01-22",,"65.6181",,,
"1999-01-21",,"65.6446",,,
"1999-01-20",,"65.6464",,,
"1999-01-19",,"65.6464",,,
"1999-01-18",,"65.6473",,,
"1999-01-17",,"65.5420",,,
"1999-01-16",,"65.5420",,,
"1999-01-15",,"65.5412",,,
"1999-01-14",,"65.5951",,,
"1999-01-13",,"65.6747",,,
"1999-01-12",,"65.7003",,,
"1999-01-11",,"65.5933",,,
"1999-01-10",,"65.5933",,,
"1999-01-09",,"65.5933",,,
"1999-01-08",,"65.4616",,,
"1999-01-07",,"65.5403",,,
"1999-01-06",,"65.4342",,,
"1999-01-05",,"65.3529",,,
"1999-01-04",,"65.2751",,,
"1999-01-03",,"65.5138",,,
"1999-01-02",,"65.5138",,,
"1999-01-01",,"65.5138",,,
"1998-12-31",,"65.5138",,,
"1998-12-30",,"65.4590",,,
"1998-12-29",,"65.4855",,,
"1998-12-28",,"65.5403",,,
"1998-12-27",,"65.5351",,,
"1998-12-26",,"65.5351",,,
"1998-12-25",,"65.5386",,,
"1998-12-24",,"65.5386",,,
"1998-12-23",,"65.4872",,,
"1998-12-22",,"65.4855",,,
"1998-12-21",,"65.4094",,,
"1998-12-20",,"65.4059",,,
"1998-12-19",,"65.4059",,,
"1998-12-18",,"65.4077",,,
"1998-12-17",,"65.4077",,,
"1998-12-16",,"65.3529",,,
"1998-12-15",,"65.2998",,,
"1998-12-14",,"65.2211",,,
"1998-12-13",,"65.5138",,,
"1998-12-12",,"65.5138",,,
"1998-12-11",,"65.5120",,,
"1998-12-10",,"65.5120",,,
"1998-12-09",,"65.5120",,,
"1998-12-08",,"65.5120",,,
"1998-12-07",,"65.5155",,,
"1998-12-06",,"65.4555",,,
"1998-12-05",,"65.4555",,,
"1998-12-04",,"65.4555",,,
"1998-12-03",,"65.6181",,,
"1998-12-02",,"65.6181",,,
"1998-12-01",,"65.6181",,,
"1998-11-30",,"65.6712",,,
"1998-11-29",,"65.6181",,,
"1998-11-28",,"65.6181",,,
"1998-11-27",,"65.6181",,,
"1998-11-26",,"65.6412",,,
"1998-11-25",,"65.6146",,,
"1998-11-24",,"65.6994",,,
"1998-11-23",,"65.5916",,,
"1998-11-22",,"65.5120",,,
"1998-11-21",,"65.5155",,,
"1998-11-20",,"65.5420",,,
"1998-11-19",,"65.4890",,,
"1998-11-18",,"65.5014",,,
"1998-11-17",,"65.5155",,,
"1998-11-16",,"65.5951",,,
"1998-11-15",,"65.6464",,,
"1998-11-14",,"65.6464",,,
"1998-11-13",,"65.6481",,,
"1998-11-12",,"65.6481",,,
"1998-11-11",,"65.7012",,,
"1998-11-10",,"65.7277",,,
"1998-11-09",,"65.7012",,,
"1998-11-08",,"65.6747",,,
"1998-11-07",,"65.6747",,,
"1998-11-06",,"65.6747",,,
"1998-11-05",,"65.6481",,,
"1998-11-04",,"65.6481",,,
"1998-11-03",,"65.6481",,,
"1998-11-02",,"65.5951",,,
"1998-11-01",,"65.5933",,,
"1998-10-31",,"65.5933",,,
"1998-10-30",,"65.5951",,,
"1998-10-29",,"65.6083",,,
"1998-10-28",,"65.5951",,,
"1998-10-27",,"65.6481",,,
"1998-10-26",,"65.3829",,,
"1998-10-25",,"65.2520",,,
"1998-10-24",,"65.2520",,,
"1998-10-23",,"65.3298",,,
"1998-10-22",,"65.3024",,,
"1998-10-21",,"65.1715",,,
"1998-10-20",,"65.1185",,,
"1998-10-19",,"64.9320",,,
"1998-10-18",,"65.0081",,,
"1998-10-17",,"65.0081",,,
"1998-10-16",,"65.0133",,,
"1998-10-15",,"65.0133",,,
"1998-10-14",,"64.9337",,,
"1998-10-13",,"64.8541",,,
"1998-10-12",,"64.8533",,,
"1998-10-11",,"64.8541",,,
"1998-10-10",,"64.8541",,,
"1998-10-09",,"64.8541",,,
"1998-10-08",,"64.8524",,,
"1998-10-07",,"64.8533",,,
"1998-10-06",,"64.8533",,,
"1998-10-05",,"64.8524",,,
"1998-10-04",,"64.8369",,,
"1998-10-03",,"64.8507",,,
"1998-10-02",,"64.8524",,,
"1998-10-01",,"64.8524",,,
"1998-09-30",,"64.8781",,,
"1998-09-29",,"64.8515",,,
"1998-09-28",,"64.9037",,,
"1998-09-27",,"64.8507",,,
"1998-09-26",,"64.8507",,,
"1998-09-25",,"64.8507",,,
"1998-09-24",,"64.9037",,,
"1998-09-23",,"64.8922",,,
"1998-09-22",,"64.8507",,,
"1998-09-21",,"64.7976",,,
"1998-09-20",,"64.7659",,,
"1998-09-19",,"64.7694",,,
"1998-09-18",,"64.7728",,,
"1998-09-17",,"64.7198",,,
"1998-09-16",,"64.7711",,,
"1998-09-15",,"64.7711",,,
"1998-09-14",,"64.7181",,,
"1998-09-13",,"64.4528",,,
"1998-09-12",,"64.4528",,,
"1998-09-11",,"64.4545",,,
"1998-09-10",,"64.3732",,,
"1998-09-09",,"64.6385",,,
"1998-09-08",,"64.5837",,,
"1998-09-07",,"64.5854",,,
"1998-09-06",,"64.4477",,,
"1998-09-05",,"64.4494",,,
"1998-09-04",,"64.4494",,,
"1998-09-03",,"64.4434",,,
"1998-09-02",,"64.4434",,,
"1998-09-01",,"64.5221",,,
"1998-08-31",,"64.4622",,,
"1998-08-30",,"64.8738",,,
"1998-08-29",,"64.8738",,,
"1998-08-28",,"64.8746",,,
"1998-08-27",,"64.5829",,,
"1998-08-26",,"64.8789",,,
"1998-08-25",,"64.8524",,,
"1998-08-24",,"64.8755",,,
"1998-08-23",,"64.8490",,,
"1998-08-22",,"64.8490",,,
"1998-08-21",,"64.8524",,,
"1998-08-20",,"64.8524",,,
"1998-08-19",,"64.8498",,,
"1998-08-18",,"64.8524",,,
"1998-08-17",,"64.9320",,,
"1998-08-16",,"64.7844",,,
"1998-08-15",,"64.7844",,,
"1998-08-14",,"64.7844",,,
"1998-08-13",,"64.8507",,,
"1998-08-12",,"64.6555",,,
"1998-08-11",,"64.6555",,,
"1998-08-10",,"64.6290",,,
"1998-08-09",,"64.6667",,,
"1998-08-08",,"64.6667",,,
"1998-08-07",,"64.6667",,,
"1998-08-06",,"64.6137",,,
"1998-08-05",,"64.4678",,,
"1998-08-04",,"64.4545",,,
"1998-08-03",,"64.4015",,,
"1998-08-02",,"64.3981",,,
"1998-08-01",,"64.3981",,,
"1998-07-31",,"64.3981",,,
"1998-07-30",,"64.2389",,,
"1998-07-29",,"64.2389",,,
"1998-07-28",,"64.3596",,,
"1998-07-27",,"64.2535",,,
"1998-07-26",,"64.3732",,,
"1998-07-25",,"64.3732",,,
"1998-07-24",,"64.3732",,,
"1998-07-23",,"64.3732",,,
"1998-07-22",,"64.3168",,,
"1998-07-21",,"64.2671",,,
"1998-07-20",,"64.2167",,,
"1998-07-19",,"64.2920",,,
"1998-07-18",,"64.2920",,,
"1998-07-17",,"64.2706",,,
"1998-07-16",,"64.3501",,,
"1998-07-15",,"64.3501",,,
"1998-07-14",,"64.3501",,,
"1998-07-13",,"64.4032",,,
"1998-07-12",,"64.4828",,,
"1998-07-11",,"64.4810",,,
"1998-07-10",,"64.5871",,,
"1998-07-09",,"64.4793",,,
"1998-07-08",,"64.3750",,,
"1998-07-07",,"64.3732",,,
"1998-07-06",,"64.3664",,,
"1998-07-05",,"64.3664",,,
"1998-07-04",,"64.3664",,,
"1998-07-03",,"64.3664",,,
"1998-07-02",,"64.3134",,,
"1998-07-01",,"64.1542",,,
"1998-06-30",,"64.1542",,,
"1998-06-29",,"64.1594",,,
"1998-06-28",,"64.0533",,,
"1998-06-27",,"64.0533",,,
"1998-06-26",,"64.0533",,,
"1998-06-25",,"64.0002",,,
"1998-06-24",,"64.0798",,,
"1998-06-23",,"63.9737",,,
"1998-06-22",,"63.9206",,,
"1998-06-21",,"63.8445",,,
"1998-06-20",,"63.8445",,,
"1998-06-19",,"63.8445",,,
"1998-06-18",,"63.7649",,,
"1998-06-17",,"63.8445",,,
"1998-06-16",,"63.8577",,,
"1998-06-15",,"63.8577",,,
"1998-06-14",,"63.8445",,,
"1998-06-13",,"63.8445",,,
"1998-06-12",,"63.8445",,,
"1998-06-11",,"63.6853",,,
"1998-06-10",,"63.4466",,,
"1998-06-09",,"63.4201",,,
"1998-06-08",,"63.3935",,,
"1998-06-07",,"63.2874",,,
"1998-06-06",,"63.2874",,,
"1998-06-05",,"63.2874",,,
"1998-06-04",,"63.3140",,,
"1998-06-03",,"63.3670",,,
"1998-06-02",,"63.3670",,,
"1998-06-01",,"63.2609",,,
"1998-05-31",,"63.2609",,,
"1998-05-30",,"63.2609",,,
"1998-05-29",,"63.1548",,,
"1998-05-28",,"63.1283",,,
"1998-05-27",,"63.0487",,,
"1998-05-26",,"62.9957",,,
"1998-05-25",,"62.9610",,,
"1998-05-24",,"62.9426",,,
"1998-05-23",,"62.9426",,,
"1998-05-22",,"62.9426",,,
"1998-05-21",,"63.0487",,,
"1998-05-20",,"63.0753",,,
"1998-05-19",,"63.1548",,,
"1998-05-18",,"63.1416",,,
"1998-05-17",,"63.2874",,,
"1998-05-16",,"63.2874",,,
"1998-05-15",,"63.1548",,,
"1998-05-14",,"63.1283",,,
"1998-05-13",,"63.1283",,,
"1998-05-12",,"63.1018",,,
"1998-05-11",,"63.0487",,,
"1998-05-10",,"63.1018",,,
"1998-05-09",,"63.1018",,,
"1998-05-08",,"62.9161",,,
"1998-05-07",,"62.9426",,,
"1998-05-06",,"62.9957",,,
"1998-05-05",,"62.9957",,,
"1998-05-04",,"62.9957",,,
"1998-05-03",,"62.9957",,,
"1998-05-02",,"62.9957",,,
"1998-05-01",,"62.9957",,,
"1998-04-30",,"62.9957",,,
"1998-04-29",,"63.0214",,,
"1998-04-28",,"62.9692",,,
"1998-04-27",,"62.9426",,,
"1998-04-26",,"62.8631",,,
"1998-04-25",,"62.8631",,,
