"Daily BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","HKD/JPY","","","",""
"1999-12-31","13.14",,,,
"1999-12-30","13.14",,,,
"1999-12-29","13.16",,,,
"1999-12-28","13.19",,,,
"1999-12-27","13.19",,,,
"1999-12-26","13.23",,,,
"1999-12-25","13.24",,,,
"1999-12-24","13.22",,,,
"1999-12-23","13.08",,,,
"1999-12-22","13.08",,,,
"1999-12-21","13.14",,,,
"1999-12-20","13.23",,,,
"1999-12-19","13.27",,,,
"1999-12-18","13.28",,,,
"1999-12-17","13.26",,,,
"1999-12-16","13.24",,,,
"1999-12-15","13.31",,,,
"1999-12-14","13.28",,,,
"1999-12-13","13.20",,,,
"1999-12-12","13.17",,,,
"1999-12-11","13.15",,,,
"1999-12-10","13.17",,,,
"1999-12-09","13.23",,,,
"1999-12-08","13.22",,,,
"1999-12-07","13.21",,,,
"1999-12-06","13.17",,,,
"1999-12-05","13.21",,,,
"1999-12-04","13.22",,,,
"1999-12-03","13.18",,,,
"1999-12-02","13.19",,,,
"1999-12-01","13.16",,,,
"1999-11-30","13.13",,,,
"1999-11-29","13.16",,,,
"1999-11-28","13.19",,,,
"1999-11-27","13.10",,,,
"1999-11-26","13.37",,,,
"1999-11-25","13.43",,,,
"1999-11-24","13.44",,,,
"1999-11-23","13.43",,,,
"1999-11-22","13.59",,,,
"1999-11-21","13.68",,,,
"1999-11-20","13.69",,,,
"1999-11-19","13.64",,,,
"1999-11-18","13.60",,,,
"1999-11-17","13.57",,,,
"1999-11-16","13.59",,,,
"1999-11-15","13.49",,,,
"1999-11-14","13.54",,,,
"1999-11-13","13.56",,,,
"1999-11-12","13.49",,,,
"1999-11-11","13.51",,,,
"1999-11-10","13.48",,,,
"1999-11-09","13.52",,,,
"1999-11-08","13.64",,,,
"1999-11-07","13.67",,,,
"1999-11-06","13.55",,,,
"1999-11-05","13.56",,,,
"1999-11-04","13.48",,,,
"1999-11-03","13.39",,,,
"1999-11-02","13.45",,,,
"1999-11-01","13.40",,,,
"1999-10-31","13.40",,,,
"1999-10-30","13.37",,,,
"1999-10-29","13.49",,,,
"1999-10-28","13.42",,,,
"1999-10-27","13.40",,,,
"1999-10-26","13.48",,,,
"1999-10-25","13.58",,,,
"1999-10-24","13.61",,,,
"1999-10-23","13.62",,,,
"1999-10-22","13.59",,,,
"1999-10-21","13.65",,,,
"1999-10-20","13.67",,,,
"1999-10-19","13.57",,,,
"1999-10-18","13.53",,,,
"1999-10-17","13.56",,,,
"1999-10-16","13.56",,,,
"1999-10-15","13.61",,,,
"1999-10-14","13.77",,,,
"1999-10-13","13.75",,,,
"1999-10-12","13.68",,,,
"1999-10-11","13.74",,,,
"1999-10-10","13.83",,,,
"1999-10-09","13.82",,,,
"1999-10-08","13.84",,,,
"1999-10-07","13.86",,,,
"1999-10-06","13.83",,,,
"1999-10-05","13.72",,,,
"1999-10-04","13.63",,,,
"1999-10-03","13.52",,,,
"1999-10-02","13.58",,,,
"1999-10-01","13.58",,,,
"1999-09-30","13.63",,,,
"1999-09-29","13.75",,,,
"1999-09-28","13.67",,,,
"1999-09-27","13.54",,,,
"1999-09-26","13.56",,,,
"1999-09-25","13.38",,,,
"1999-09-24","13.44",,,,
"1999-09-23","13.39",,,,
"1999-09-22","13.42",,,,
"1999-09-21","13.48",,,,
"1999-09-20","13.86",,,,
"1999-09-19","13.86",,,,
"1999-09-18","13.80",,,,
"1999-09-17","13.73",,,,
"1999-09-16","13.50",,,,
"1999-09-15","13.44",,,,
"1999-09-14","13.68",,,,
"1999-09-13","13.75",,,,
"1999-09-12","14.02",,,,
"1999-09-11","14.01",,,,
"1999-09-10","14.05",,,,
"1999-09-09","14.01",,,,
"1999-09-08","14.28",,,,
"1999-09-07","14.27",,,,
"1999-09-06","14.11",,,,
"1999-09-05","14.12",,,,
"1999-09-04","14.16",,,,
"1999-09-03","14.15",,,,
"1999-09-02","14.04",,,,
"1999-09-01","14.08",,,,
"1999-08-31","14.12",,,,
"1999-08-30","14.30",,,,
"1999-08-29","14.34",,,,
"1999-08-28","14.35",,,,
"1999-08-27","14.37",,,,
"1999-08-26","14.33",,,,
"1999-08-25","14.30",,,,
"1999-08-24","14.39",,,,
"1999-08-23","14.31",,,,
"1999-08-22","14.33",,,,
"1999-08-21","14.33",,,,
"1999-08-20","14.36",,,,
"1999-08-19","14.35",,,,
"1999-08-18","14.56",,,,
"1999-08-17","14.74",,,,
"1999-08-16","14.79",,,,
"1999-08-15","14.91",,,,
"1999-08-14","14.90",,,,
"1999-08-13","14.80",,,,
"1999-08-12","14.91",,,,
"1999-08-11","14.81",,,,
"1999-08-10","14.78",,,,
"1999-08-09","14.85",,,,
"1999-08-08","14.83",,,,
"1999-08-07","14.79",,,,
"1999-08-06","14.75",,,,
"1999-08-05","14.72",,,,
"1999-08-04","14.77",,,,
"1999-08-03","14.85",,,,
"1999-08-02","14.72",,,,
"1999-08-01","14.76",,,,
"1999-07-31","14.76",,,,
"1999-07-30","14.83",,,,
"1999-07-29","14.86",,,,
"1999-07-28","14.95",,,,
"1999-07-27","15.01",,,,
"1999-07-26","14.99",,,,
"1999-07-25","15.05",,,,
"1999-07-24","15.03",,,,
"1999-07-23","15.01",,,,
"1999-07-22","15.18",,,,
"1999-07-21","15.32",,,,
"1999-07-20","15.25",,,,
"1999-07-19","15.46",,,,
"1999-07-18","15.59",,,,
"1999-07-17","15.57",,,,
"1999-07-16","15.57",,,,
"1999-07-15","15.53",,,,
"1999-07-14","15.58",,,,
"1999-07-13","15.66",,,,
"1999-07-12","15.74",,,,
"1999-07-11","15.77",,,,
"1999-07-10","15.75",,,,
"1999-07-09","15.79",,,,
"1999-07-08","15.79",,,,
"1999-07-07","15.73",,,,
"1999-07-06","15.73",,,,
"1999-07-05","15.77",,,,
"1999-07-04","15.59",,,,
"1999-07-03","15.59",,,,
"1999-07-02","15.60",,,,
"1999-07-01","15.57",,,,
"1999-06-30","15.58",,,,
"1999-06-29","15.60",,,,
"1999-06-28","15.62",,,,
"1999-06-27","15.65",,,,
"1999-06-26","15.65",,,,
"1999-06-25","15.66",,,,
"1999-06-24","15.72",,,,
"1999-06-23","15.73",,,,
"1999-06-22","15.70",,,,
"1999-06-21","15.75",,,,
"1999-06-20","15.54",,,,
"1999-06-19","15.53",,,,
"1999-06-18","15.42",,,,
"1999-06-17","15.46",,,,
"1999-06-16","15.51",,,,
"1999-06-15","15.52",,,,
"1999-06-14","15.52",,,,
