Date,Value
2015-07-27,706.5
2015-07-24,697.4
2015-07-23,705.2
2015-07-22,696.6
2015-07-21,710.7
2015-07-20,709.8
2015-07-17,727.6
2015-07-16,732.8
2015-07-15,736.0
2015-07-14,743.0
2015-07-13,742.6
2015-07-10,746.8
2015-07-09,755.5
2015-07-08,754.1
2015-07-07,748.9
2015-07-06,749.2
2015-07-03,748.2
2015-07-02,745.9
2015-07-01,747.3
2015-06-30,743.5
2015-06-29,747.8
2015-06-26,743.7
2015-06-25,744.7
2015-06-24,745.6
2015-06-23,748.4
2015-06-22,748.6
2015-06-19,757.4
2015-06-18,756.2
2015-06-17,748.8
2015-06-16,752.8
2015-06-15,760.7
2015-06-12,763.4
2015-06-11,760.6
2015-06-10,765.4
2015-06-09,768.8
2015-06-08,767.6
2015-06-05,765.0
2015-06-04,764.6
2015-06-03,776.8
2015-06-02,778.4
2015-06-01,788.0
2015-05-29,778.9
2015-05-28,775.7
2015-05-27,773.4
2015-05-26,771.0
2015-05-25,776.3
2015-05-22,776.3
2015-05-21,768.8
2015-05-20,777.7
2015-05-19,782.5
2015-05-18,780.8
2015-05-15,774.6
2015-05-14,776.0
2015-05-13,770.8
2015-05-12,761.1
2015-05-11,764.5
2015-05-08,769.6
2015-05-07,781.8
2015-05-06,782.9
2015-05-05,789.5
2015-05-04,773.7
2015-05-01,773.7
2015-04-30,768.4
2015-04-29,784.2
2015-04-28,789.2
2015-04-27,791.0
2015-04-24,782.3
2015-04-23,790.0
2015-04-22,791.5
2015-04-21,802.8
2015-04-20,803.1
2015-04-17,802.3
2015-04-16,808.0
2015-04-15,806.7
2015-04-14,808.1
2015-04-13,818.6
2015-04-10,824.4
2015-04-09,808.8
2015-04-08,807.0
2015-04-07,813.0
2015-04-06,808.8
2015-04-03,808.8
2015-04-02,808.8
2015-04-01,809.6
2015-03-31,802.8
2015-03-30,802.3
2015-03-27,802.1
2015-03-26,810.9
2015-03-25,803.3
2015-03-24,801.0
2015-03-23,794.3
2015-03-20,795.3
2015-03-19,789.8
2015-03-18,782.8
2015-03-17,780.2
2015-03-16,778.8
2015-03-13,782.3
2015-03-12,771.1
2015-03-11,770.3
2015-03-10,770.6
2015-03-09,773.8
2015-03-06,779.8
2015-03-05,788.6
2015-03-04,784.3
2015-03-03,787.9
2015-03-02,788.4
2015-02-27,787.5
2015-02-26,783.9
2015-02-25,777.7
2015-02-24,773.6
2015-02-23,780.6
2015-02-20,786.9
2015-02-19,783.9
2015-02-18,781.8
2015-02-17,788.4
2015-02-16,799.0
2015-02-13,799.9
2015-02-12,796.1
2015-02-11,802.1
2015-02-10,810.0
2015-02-09,813.4
2015-02-06,813.0
2015-02-05,823.3
2015-02-04,833.2
2015-02-03,837.1
2015-02-02,844.2
2015-01-30,838.2
2015-01-29,839.4
2015-01-28,848.8
2015-01-27,848.9
2015-01-26,851.0
2015-01-23,862.1
2015-01-22,857.3
2015-01-21,855.5
2015-01-20,848.9
2015-01-19,839.9
2015-01-16,843.8
2015-01-15,828.0
2015-01-14,812.1
2015-01-13,812.7
2015-01-12,808.5
2015-01-09,803.9
2015-01-08,805.9
2015-01-07,802.3
2015-01-06,797.2
2015-01-05,788.0
2015-01-02,760.8
2015-01-01,775.2
2014-12-31,775.2
2014-12-30,775.2
2014-12-29,763.3
2014-12-26,758.8
2014-12-25,758.8
2014-12-24,758.8
2014-12-23,758.8
2014-12-22,765.3
2014-12-19,764.4
2014-12-18,765.7
2014-12-17,761.4
2014-12-16,763.0
2014-12-15,772.4
2014-12-12,774.2
2014-12-11,775.9
2014-12-10,783.2
2014-12-09,782.6
2014-12-08,763.7
2014-12-05,766.2
2014-12-04,771.5
2014-12-03,768.0
2014-12-02,763.8
2014-12-01,758.5
2014-11-28,754.5
2014-11-27,758.2
2014-11-26,758.3
2014-11-25,763.2
2014-11-24,763.3
2014-11-21,768.5
2014-11-20,757.4
2014-11-19,763.7
2014-11-18,762.4
2014-11-17,756.5
2014-11-14,747.5
2014-11-13,737.8
2014-11-12,736.5
2014-11-11,729.0
2014-11-10,730.4
2014-11-07,728.8
2014-11-06,719.2
2014-11-05,715.5
2014-11-04,728.7
2014-11-03,729.2
2014-10-31,729.2
2014-10-30,750.4
2014-10-29,757.6
2014-10-28,760.6
2014-10-27,761.5
2014-10-24,765.8
2014-10-23,769.9
2014-10-22,775.4
2014-10-21,774.3
2014-10-20,771.2
2014-10-17,768.2
2014-10-16,773.5
2014-10-15,774.6
2014-10-14,775.4
2014-10-13,764.0
2014-10-10,760.4
2014-10-09,758.1
2014-10-08,756.4
2014-10-07,751.4
2014-10-06,747.1
2014-10-03,748.3
2014-10-02,751.9
2014-10-01,749.4
2014-09-30,750.1
2014-09-29,750.6
2014-09-26,746.1
2014-09-25,743.0
2014-09-24,744.3
2014-09-23,746.3
2014-09-22,742.3
2014-09-19,746.3
2014-09-18,744.6
2014-09-17,756.5
2014-09-16,760.1
2014-09-15,759.7
2014-09-12,758.7
2014-09-11,764.8
2014-09-10,774.5
2014-09-09,780.1
2014-09-08,779.0
2014-09-05,775.2
2014-09-04,774.1
2014-09-03,768.6
2014-09-02,767.2
2014-09-01,773.8
2014-08-29,775.0
2014-08-28,779.3
2014-08-27,773.4
2014-08-26,775.5
2014-08-25,770.7
2014-08-22,770.7
2014-08-21,768.7
2014-08-20,777.7
2014-08-19,779.9
2014-08-18,775.4
2014-08-15,776.3
2014-08-14,787.3
2014-08-13,785.1
2014-08-12,783.4
2014-08-11,778.9
2014-08-08,780.1
2014-08-07,775.6
2014-08-06,776.2
2014-08-05,762.4
2014-08-04,766.4
2014-08-01,767.0
2014-07-31,761.5
2014-07-30,765.8
2014-07-29,766.9
2014-07-28,767.7
2014-07-25,761.9
2014-07-24,761.3
2014-07-23,767.3
2014-07-22,768.1
2014-07-21,768.8
2014-07-18,766.4
2014-07-17,761.6
2014-07-16,758.9
2014-07-15,762.6
2014-07-14,764.7
2014-07-11,779.9
2014-07-10,782.7
2014-07-09,772.5
2014-07-08,766.9
2014-07-07,766.9
2014-07-04,769.0
2014-07-03,768.4
2014-07-02,773.2
2014-07-01,773.7
2014-06-30,771.2
2014-06-27,774.5
2014-06-26,771.3
2014-06-25,774.7
2014-06-24,776.4
2014-06-23,772.3
2014-06-20,771.2
2014-06-19,758.8
2014-06-18,749.0
2014-06-17,747.3
2014-06-16,751.3
2014-06-13,750.8
2014-06-12,752.2
2014-06-11,752.0
2014-06-10,751.3
2014-06-09,746.7
2014-06-06,743.4
2014-06-05,746.5
2014-06-04,743.7
2014-06-03,741.9
2014-06-02,744.4
2014-05-30,746.7
2014-05-29,750.8
2014-05-28,756.1
2014-05-27,758.5
2014-05-26,767.0
2014-05-23,767.0
2014-05-22,769.9
2014-05-21,762.5
2014-05-20,769.4
2014-05-19,773.6
2014-05-16,767.2
2014-05-15,774.1
2014-05-14,777.9
2014-05-13,769.7
2014-05-12,768.9
2014-05-09,765.8
2014-05-08,758.7
2014-05-07,764.1
2014-05-06,768.8
2014-05-05,761.0
2014-05-02,761.0
2014-05-01,757.2
2014-04-30,764.4
2014-04-29,771.1
2014-04-28,771.7
2014-04-25,773.8
2014-04-24,769.0
2014-04-23,765.3
2014-04-22,764.6
2014-04-21,772.8
2014-04-18,772.8
2014-04-17,772.8
2014-04-16,774.9
2014-04-15,775.2
2014-04-14,792.2
2014-04-11,787.8
2014-04-10,787.5
2014-04-09,776.9
2014-04-08,782.0
2014-04-07,781.8
2014-04-04,782.5
2014-04-03,774.4
2014-04-02,776.5
2014-04-01,771.3
2014-03-31,776.4
2014-03-28,777.8
2014-03-27,778.9
2014-03-26,787.2
2014-03-25,794.8
2014-03-24,795.5
2014-03-21,809.8
2014-03-20,804.6
2014-03-19,805.0
2014-03-18,819.0
2014-03-17,828.0
2014-03-14,833.6
2014-03-13,820.5
2014-03-12,822.4
2014-03-11,809.5
2014-03-10,807.6
2014-03-07,797.9
2014-03-06,804.3
2014-03-05,799.4
2014-03-04,800.1
2014-03-03,807.5
2014-02-28,793.9
2014-02-27,799.1
2014-02-26,799.9
2014-02-25,801.0
2014-02-24,804.7
2014-02-21,791.6
2014-02-20,789.3
2014-02-19,791.6
2014-02-18,790.3
2014-02-17,794.1
2014-02-14,789.7
2014-02-13,779.3
2014-02-12,778.7
2014-02-11,779.8
2014-02-10,779.1
2014-02-07,768.2
2014-02-06,769.6
2014-02-05,770.4
2014-02-04,767.1
2014-02-03,771.5
2014-01-31,759.8
2014-01-30,752.5
2014-01-29,762.9
2014-01-28,754.5
2014-01-27,760.3
2014-01-24,768.2
2014-01-23,760.7
2014-01-22,749.1
2014-01-21,751.8
2014-01-20,764.1
2014-01-17,760.5
2014-01-16,758.3
2014-01-15,757.2
2014-01-14,761.9
2014-01-13,762.6
2014-01-10,754.1
2014-01-09,745.0
2014-01-08,742.1
2014-01-07,748.9
2014-01-06,758.9
2014-01-03,752.6
2014-01-02,745.4
