Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-16,00:05:00,81.683,81.7371,81.683,81.7371,0,0
2016-02-16,00:10:00,81.7381,81.7822,81.706,81.7076,0,0
2016-02-16,00:15:00,81.7102,81.7442,81.6831,81.7409,0,0
2016-02-16,00:20:00,81.7409,81.8135,81.7382,81.7975,0,0
2016-02-16,00:25:00,81.7835,81.8514,81.7835,81.8514,0,0
2016-02-16,00:30:00,81.8481,81.8481,81.8048,81.8058,0,0
2016-02-16,00:35:00,81.8086,81.823,81.7486,81.7514,0,0
2016-02-16,00:40:00,81.749,81.7832,81.7216,81.7767,0,0
2016-02-16,00:45:00,81.7756,81.8125,81.7744,81.7975,0,0
2016-02-16,00:50:00,81.797,81.8108,81.7573,81.7637,0,0
2016-02-16,00:55:00,81.7604,81.7604,81.724,81.7336,0,0
2016-02-16,01:00:00,81.7324,81.7333,81.6972,81.7198,0,0
2016-02-16,01:05:00,81.7213,81.8624,81.7213,81.8458,0,0
2016-02-16,01:10:00,81.8455,81.8455,81.734,81.7509,0,0
2016-02-16,01:15:00,81.7497,81.7911,81.7204,81.7868,0,0
2016-02-16,01:20:00,81.7899,81.7904,81.7491,81.7588,0,0
2016-02-16,01:25:00,81.7793,81.9329,81.7793,81.8915,0,0
2016-02-16,01:30:00,81.8898,81.9453,81.8874,81.9316,0,0
2016-02-16,01:35:00,81.9383,82.138,81.9285,82.0505,0,0
2016-02-16,01:40:00,82.0469,82.14,82.0469,82.1114,0,0
2016-02-16,01:45:00,82.1062,82.1963,82.1062,82.1542,0,0
2016-02-16,01:50:00,82.1576,82.1588,82.089,82.107,0,0
2016-02-16,01:55:00,82.1134,82.2357,82.0483,82.2316,0,0
2016-02-16,02:00:00,82.2538,82.3344,82.2222,82.2547,0,0
2016-02-16,02:05:00,82.2585,82.3104,82.1542,82.1542,0,0
2016-02-16,02:10:00,82.1616,82.1867,82.1372,82.1582,0,0
2016-02-16,02:15:00,82.1575,82.2448,82.1572,82.2154,0,0
2016-02-16,02:20:00,82.2018,82.2516,82.062,82.1203,0,0
2016-02-16,02:25:00,82.121,82.1272,82.0529,82.1112,0,0
2016-02-16,02:30:00,82.1212,82.1973,82.0756,82.1455,0,0
2016-02-16,02:35:00,82.1482,82.2092,82.143,82.1953,0,0
2016-02-16,02:40:00,82.186,82.2395,82.1659,82.187,0,0
2016-02-16,02:45:00,82.1563,82.1563,82.0884,82.1042,0,0
2016-02-16,02:50:00,82.1042,82.1085,82.0136,82.0194,0,0
2016-02-16,02:55:00,82.0194,82.1405,82.0194,82.1324,0,0
2016-02-16,03:00:00,82.1324,82.1554,82.086,82.1115,0,0
2016-02-16,03:05:00,82.0841,82.1822,82.0841,82.1217,0,0
2016-02-16,03:10:00,82.1157,82.1157,82.0021,82.0509,0,0
2016-02-16,03:15:00,82.0479,82.0833,82.0222,82.0584,0,0
2016-02-16,03:20:00,82.0519,82.1281,82.0519,82.0865,0,0
2016-02-16,03:25:00,82.0872,82.1872,82.0872,82.1594,0,0
2016-02-16,03:30:00,82.1513,82.1759,82.1188,82.1472,0,0
2016-02-16,03:35:00,82.1444,82.1477,82.0626,82.1276,0,0
2016-02-16,03:40:00,82.1264,82.1815,82.1164,82.1561,0,0
2016-02-16,03:45:00,82.1561,82.2404,82.1423,82.199,0,0
2016-02-16,03:50:00,82.2012,82.2852,82.1763,82.2733,0,0
2016-02-16,03:55:00,82.2709,82.286,82.2108,82.2311,0,0
2016-02-16,04:00:00,82.2256,82.2257,82.1774,82.1959,0,0
2016-02-16,04:05:00,82.1833,82.2151,82.1709,82.2,0,0
2016-02-16,04:10:00,82.1948,82.2441,82.163,82.2417,0,0
2016-02-16,04:15:00,82.24,82.2441,82.168,82.1965,0,0
2016-02-16,04:20:00,82.1965,82.2345,82.1812,82.2292,0,0
2016-02-16,04:25:00,82.2299,82.2762,82.2271,82.2473,0,0
2016-02-16,04:30:00,82.2473,82.3087,82.2432,82.2971,0,0
2016-02-16,04:35:00,82.3007,82.4292,82.3007,82.3689,0,0
2016-02-16,04:40:00,82.3699,82.4119,82.3458,82.3532,0,0
2016-02-16,04:45:00,82.3561,82.3844,82.3292,82.3292,0,0
2016-02-16,04:50:00,82.3337,82.3523,82.2621,82.2621,0,0
2016-02-16,04:55:00,82.2696,82.3004,82.2673,82.2809,0,0
2016-02-16,05:00:00,82.282,82.3038,82.2542,82.3037,0,0
2016-02-16,05:05:00,82.3091,82.3091,82.2271,82.2585,0,0
2016-02-16,05:10:00,82.2585,82.2997,82.2421,82.259,0,0
2016-02-16,05:15:00,82.259,82.2898,82.2428,82.2714,0,0
2016-02-16,05:20:00,82.2561,82.316,82.2517,82.3131,0,0
2016-02-16,05:25:00,82.315,82.315,82.2448,82.2537,0,0
2016-02-16,05:30:00,82.2494,82.2739,82.1943,82.1998,0,0
2016-02-16,05:35:00,82.1955,82.1955,82.1083,82.1356,0,0
2016-02-16,05:40:00,82.1558,82.1558,82.0689,82.0894,0,0
2016-02-16,05:45:00,82.0854,82.0854,81.9696,81.9875,0,0
2016-02-16,05:50:00,81.9961,82.0617,81.9949,82.05,0,0
2016-02-16,05:55:00,82.0492,82.1063,82.0492,82.0953,0,0
2016-02-16,06:00:00,82.0903,82.1285,82.086,82.0922,0,0
2016-02-16,06:05:00,82.1027,82.1308,82.0843,82.0931,0,0
2016-02-16,06:10:00,82.095,82.1032,82.0518,82.0524,0,0
2016-02-16,06:15:00,82.0508,82.0619,82.0278,82.0619,0,0
2016-02-16,06:20:00,82.0648,82.0869,82.0502,82.0869,0,0
2016-02-16,06:25:00,82.091,82.1018,82.0335,82.0335,0,0
2016-02-16,06:30:00,82.0354,82.0856,82.0354,82.0775,0,0
2016-02-16,06:35:00,82.0796,82.0796,82.0202,82.0264,0,0
2016-02-16,06:40:00,82.0271,82.0662,82.0023,82.013,0,0
2016-02-16,06:45:00,82.013,82.0436,81.9933,82.0318,0,0
2016-02-16,06:50:00,82.0445,82.0445,81.9728,82.0081,0,0
2016-02-16,06:55:00,82.0059,82.0059,81.8993,81.9103,0,0
2016-02-16,07:00:00,81.9077,81.9247,81.8579,81.8951,0,0
2016-02-16,07:05:00,81.8958,81.9549,81.8953,81.9423,0,0
2016-02-16,07:10:00,81.9315,81.9583,81.9054,81.9104,0,0
2016-02-16,07:15:00,81.9147,81.9875,81.8918,81.9491,0,0
2016-02-16,07:20:00,81.955,81.9756,81.9298,81.9442,0,0
2016-02-16,07:25:00,81.9411,81.9661,81.9252,81.9512,0,0
2016-02-16,07:30:00,81.949,81.9522,81.9113,81.9358,0,0
2016-02-16,07:35:00,81.9335,81.9468,81.9063,81.9354,0,0
2016-02-16,07:40:00,81.9358,81.9375,81.9063,81.9139,0,0
2016-02-16,07:45:00,81.9249,81.9479,81.8653,81.8903,0,0
2016-02-16,07:50:00,81.8868,81.9189,81.879,81.9182,0,0
2016-02-16,07:55:00,81.9106,81.9293,81.8946,81.908,0,0
2016-02-16,08:00:00,81.9121,81.9967,81.9121,81.9823,0,0
2016-02-16,08:05:00,81.9794,81.9858,81.8469,81.8519,0,0
2016-02-16,08:10:00,81.8539,81.8757,81.8217,81.8336,0,0
2016-02-16,08:15:00,81.8319,81.8532,81.707,81.7079,0,0
2016-02-16,08:20:00,81.7143,81.7914,81.701,81.7914,0,0
2016-02-16,08:25:00,81.7848,81.8195,81.7586,81.7662,0,0
2016-02-16,08:30:00,81.77,81.8562,81.77,81.8469,0,0
2016-02-16,08:35:00,81.8405,81.9569,81.8027,81.9569,0,0
2016-02-16,08:40:00,81.9604,82.0383,81.9515,82.0371,0,0
2016-02-16,08:45:00,82.0324,82.0403,81.9722,81.9924,0,0
2016-02-16,08:50:00,81.9934,82.1208,81.9934,82.0515,0,0
2016-02-16,08:55:00,82.0363,82.0756,82.0308,82.0591,0,0
2016-02-16,09:00:00,82.0726,82.1221,82.0726,82.1087,0,0
2016-02-16,09:05:00,82.1119,82.1215,81.9998,81.9998,0,0
2016-02-16,09:10:00,81.9948,82.0188,81.943,81.9642,0,0
2016-02-16,09:15:00,81.9635,81.9721,81.9171,81.9603,0,0
2016-02-16,09:20:00,81.9639,82.114,81.9073,82.114,0,0
2016-02-16,09:25:00,82.1375,82.1475,82.0608,82.0772,0,0
2016-02-16,09:30:00,82.0823,82.15,82.0448,82.0853,0,0
2016-02-16,09:35:00,82.0722,82.1175,82.0585,82.0854,0,0
2016-02-16,09:40:00,82.0715,82.1144,82.0525,82.0846,0,0
2016-02-16,09:45:00,82.0814,82.1492,82.0814,82.1251,0,0
2016-02-16,09:50:00,82.1236,82.1236,82.0524,82.0565,0,0
2016-02-16,09:55:00,82.0571,82.0881,82.0454,82.0502,0,0
2016-02-16,10:00:00,82.0452,82.096,81.9655,82.066,0,0
2016-02-16,10:05:00,82.045,82.045,81.7317,81.7454,0,0
2016-02-16,10:10:00,81.7521,81.7521,81.5126,81.6375,0,0
2016-02-16,10:15:00,81.6491,81.6491,81.4461,81.6128,0,0
2016-02-16,10:20:00,81.6121,81.7592,81.609,81.7509,0,0
2016-02-16,10:25:00,81.7673,81.8254,81.6534,81.8183,0,0
2016-02-16,10:30:00,81.8234,81.8834,81.7954,81.8675,0,0
2016-02-16,10:35:00,81.8537,81.9672,81.7937,81.9535,0,0
2016-02-16,10:40:00,81.9507,81.9507,81.9012,81.9505,0,0
2016-02-16,10:45:00,81.9505,81.9505,81.7571,81.7948,0,0
2016-02-16,10:50:00,81.7869,81.7869,81.6676,81.6676,0,0
2016-02-16,10:55:00,81.6741,81.6873,81.5065,81.5065,0,0
