audeur,chfgbp,cadjpy,,,audeur,Date,Time,Close,,chfgbp,Date,Time,Close,,cadjpy,Date,Time,Close
0.63956,0.70185,82.7401,,,,2016-02-16,00:05:00,0.63956,,,2016-02-16,00:05:00,0.70185,,,2016-02-16,00:05:00,82.7401
0.63953,0.7019,82.7374,,,,2016-02-16,00:10:00,0.63953,,,2016-02-16,00:10:00,0.7019,,,2016-02-16,00:10:00,82.7374
0.63971,0.70176,82.7803,,,,2016-02-16,00:15:00,0.63971,,,2016-02-16,00:15:00,0.70176,,,2016-02-16,00:15:00,82.7803
0.63993,0.70175,82.8098,,,,2016-02-16,00:20:00,0.63993,,,2016-02-16,00:20:00,0.70175,,,2016-02-16,00:20:00,82.8098
0.64017,0.70171,82.8509,,,,2016-02-16,00:25:00,0.64017,,,2016-02-16,00:25:00,0.70171,,,2016-02-16,00:25:00,82.8509
0.64007,0.70158,82.8017,,,,2016-02-16,00:30:00,0.64007,,,2016-02-16,00:30:00,0.70158,,,2016-02-16,00:30:00,82.8017
0.63982,0.70148,82.7624,,,,2016-02-16,00:35:00,0.63982,,,2016-02-16,00:35:00,0.70148,,,2016-02-16,00:35:00,82.7624
0.63981,0.70163,82.769,,,,2016-02-16,00:40:00,0.63981,,,2016-02-16,00:40:00,0.70163,,,2016-02-16,00:40:00,82.769
0.63999,0.7016,82.7902,,,,2016-02-16,00:45:00,0.63999,,,2016-02-16,00:45:00,0.7016,,,2016-02-16,00:45:00,82.7902
0.6398,0.7018,82.7797,,,,2016-02-16,00:50:00,0.6398,,,2016-02-16,00:50:00,0.7018,,,2016-02-16,00:50:00,82.7797
0.63982,0.70162,82.7496,,,,2016-02-16,00:55:00,0.63982,,,2016-02-16,00:55:00,0.70162,,,2016-02-16,00:55:00,82.7496
0.63938,0.70156,82.7284,,,,2016-02-16,01:00:00,0.63938,,,2016-02-16,01:00:00,0.70156,,,2016-02-16,01:00:00,82.7284
0.6401,0.70153,82.8268,,,,2016-02-16,01:05:00,0.6401,,,2016-02-16,01:05:00,0.70153,,,2016-02-16,01:05:00,82.8268
0.63968,0.70188,82.7567,,,,2016-02-16,01:10:00,0.63968,,,2016-02-16,01:10:00,0.70188,,,2016-02-16,01:10:00,82.7567
0.64002,0.70157,82.8282,,,,2016-02-16,01:15:00,0.64002,,,2016-02-16,01:15:00,0.70157,,,2016-02-16,01:15:00,82.8282
0.6396,0.70166,82.856,,,,2016-02-16,01:20:00,0.6396,,,2016-02-16,01:20:00,0.70166,,,2016-02-16,01:20:00,82.856
0.64037,0.70158,83.0307,,,,2016-02-16,01:25:00,0.64037,,,2016-02-16,01:25:00,0.70158,,,2016-02-16,01:25:00,83.0307
0.64074,0.70206,83.0495,,,,2016-02-16,01:30:00,0.64074,,,2016-02-16,01:30:00,0.70206,,,2016-02-16,01:30:00,83.0495
0.64138,0.70139,83.1416,,,,2016-02-16,01:35:00,0.64138,,,2016-02-16,01:35:00,0.70139,,,2016-02-16,01:35:00,83.1416
