Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-16,00:05:00,1.11637,1.11693,1.11634,1.11693,0,0
2016-02-16,00:10:00,1.11701,1.11702,1.11637,1.11656,0,0
2016-02-16,00:15:00,1.11657,1.11668,1.11639,1.11652,0,0
2016-02-16,00:20:00,1.11653,1.11666,1.11646,1.11649,0,0
2016-02-16,00:25:00,1.11651,1.11653,1.11645,1.11645,0,0
2016-02-16,00:30:00,1.11645,1.11658,1.11643,1.11651,0,0
2016-02-16,00:35:00,1.11652,1.11653,1.11633,1.11651,0,0
2016-02-16,00:40:00,1.11653,1.11666,1.11653,1.11666,0,0
2016-02-16,00:45:00,1.11666,1.11671,1.11665,1.11665,0,0
2016-02-16,00:50:00,1.11666,1.11669,1.11663,1.11668,0,0
2016-02-16,00:55:00,1.11668,1.11695,1.11667,1.11694,0,0
2016-02-16,01:00:00,1.11695,1.11796,1.11695,1.11769,0,0
2016-02-16,01:05:00,1.11769,1.11769,1.11701,1.11739,0,0
2016-02-16,01:10:00,1.11757,1.11792,1.1174,1.11767,0,0
2016-02-16,01:15:00,1.11767,1.11774,1.11729,1.11737,0,0
2016-02-16,01:20:00,1.11737,1.11757,1.11734,1.11736,0,0
2016-02-16,01:25:00,1.11732,1.11733,1.11677,1.11691,0,0
2016-02-16,01:30:00,1.11691,1.11691,1.11668,1.11677,0,0
2016-02-16,01:35:00,1.11674,1.11683,1.11618,1.11626,0,0
2016-02-16,01:40:00,1.11629,1.11636,1.11614,1.1163,0,0
2016-02-16,01:45:00,1.11631,1.11638,1.11591,1.11595,0,0
2016-02-16,01:50:00,1.11596,1.11633,1.11584,1.11622,0,0
2016-02-16,01:55:00,1.11614,1.11679,1.11609,1.11679,0,0
2016-02-16,02:00:00,1.1168,1.11735,1.11652,1.11735,0,0
2016-02-16,02:05:00,1.11738,1.11742,1.1163,1.11702,0,0
2016-02-16,02:10:00,1.11699,1.11732,1.11685,1.11723,0,0
2016-02-16,02:15:00,1.11723,1.11744,1.11702,1.11735,0,0
2016-02-16,02:20:00,1.11736,1.118,1.11724,1.118,0,0
2016-02-16,02:25:00,1.11803,1.11834,1.11788,1.1179,0,0
2016-02-16,02:30:00,1.11784,1.11801,1.11751,1.11765,0,0
2016-02-16,02:35:00,1.11764,1.11784,1.11755,1.11758,0,0
2016-02-16,02:40:00,1.11768,1.11771,1.11735,1.11738,0,0
2016-02-16,02:45:00,1.11753,1.11767,1.11717,1.11733,0,0
2016-02-16,02:50:00,1.11733,1.11749,1.11728,1.11749,0,0
2016-02-16,02:55:00,1.11756,1.11765,1.11733,1.11739,0,0
2016-02-16,03:00:00,1.11739,1.11764,1.11719,1.11757,0,0
2016-02-16,03:05:00,1.11762,1.11769,1.11707,1.11737,0,0
2016-02-16,03:10:00,1.11738,1.11777,1.11738,1.11769,0,0
2016-02-16,03:15:00,1.11769,1.11769,1.11734,1.11744,0,0
2016-02-16,03:20:00,1.11737,1.11766,1.11724,1.11756,0,0
2016-02-16,03:25:00,1.11756,1.11756,1.11717,1.11739,0,0
2016-02-16,03:30:00,1.1172,1.11728,1.11695,1.11696,0,0
2016-02-16,03:35:00,1.11706,1.11708,1.11673,1.11684,0,0
2016-02-16,03:40:00,1.11684,1.11684,1.11639,1.11647,0,0
2016-02-16,03:45:00,1.11647,1.11648,1.11619,1.11639,0,0
2016-02-16,03:50:00,1.11638,1.11647,1.11623,1.11623,0,0
2016-02-16,03:55:00,1.11623,1.11646,1.11623,1.11641,0,0
2016-02-16,04:00:00,1.11643,1.11649,1.11632,1.11646,0,0
2016-02-16,04:05:00,1.11648,1.11648,1.11633,1.11641,0,0
2016-02-16,04:10:00,1.11643,1.11646,1.11606,1.11606,0,0
2016-02-16,04:15:00,1.11608,1.11643,1.11607,1.11643,0,0
2016-02-16,04:20:00,1.11642,1.11643,1.11619,1.11638,0,0
2016-02-16,04:25:00,1.11638,1.11638,1.11609,1.11614,0,0
2016-02-16,04:30:00,1.11614,1.11625,1.11602,1.11603,0,0
2016-02-16,04:35:00,1.11602,1.11603,1.11535,1.11576,0,0
2016-02-16,04:40:00,1.11577,1.11585,1.11556,1.1157,0,0
2016-02-16,04:45:00,1.11569,1.11571,1.1153,1.11536,0,0
2016-02-16,04:50:00,1.11536,1.11577,1.11536,1.11573,0,0
2016-02-16,04:55:00,1.11572,1.11579,1.11535,1.11552,0,0
2016-02-16,05:00:00,1.11553,1.11559,1.11512,1.11514,0,0
2016-02-16,05:05:00,1.11511,1.11519,1.11493,1.11519,0,0
2016-02-16,05:10:00,1.11519,1.11539,1.11509,1.11538,0,0
2016-02-16,05:15:00,1.11537,1.11539,1.11517,1.11523,0,0
2016-02-16,05:20:00,1.11524,1.11534,1.11468,1.11485,0,0
2016-02-16,05:25:00,1.11488,1.11539,1.11487,1.11519,0,0
2016-02-16,05:30:00,1.11518,1.11519,1.11488,1.11496,0,0
2016-02-16,05:35:00,1.11496,1.1154,1.11496,1.1151,0,0
2016-02-16,05:40:00,1.11509,1.11545,1.11498,1.11542,0,0
2016-02-16,05:45:00,1.11542,1.1157,1.11542,1.11558,0,0
2016-02-16,05:50:00,1.11558,1.11563,1.11555,1.11559,0,0
2016-02-16,05:55:00,1.11559,1.11559,1.11502,1.11522,0,0
2016-02-16,06:00:00,1.11524,1.11551,1.11521,1.11522,0,0
2016-02-16,06:05:00,1.11522,1.11535,1.11513,1.11515,0,0
2016-02-16,06:10:00,1.11514,1.11522,1.11483,1.11499,0,0
2016-02-16,06:15:00,1.11498,1.11505,1.11486,1.115,0,0
2016-02-16,06:20:00,1.115,1.11506,1.1149,1.11503,0,0
2016-02-16,06:25:00,1.115,1.11508,1.11494,1.11508,0,0
2016-02-16,06:30:00,1.11509,1.11509,1.11491,1.11496,0,0
2016-02-16,06:35:00,1.11495,1.11522,1.11495,1.11516,0,0
2016-02-16,06:40:00,1.11518,1.1153,1.11513,1.11519,0,0
2016-02-16,06:45:00,1.11525,1.1153,1.11491,1.11495,0,0
2016-02-16,06:50:00,1.11499,1.11512,1.11499,1.11501,0,0
2016-02-16,06:55:00,1.11501,1.11556,1.11501,1.11539,0,0
2016-02-16,07:00:00,1.11544,1.11564,1.11534,1.11542,0,0
2016-02-16,07:05:00,1.11542,1.11567,1.11534,1.11535,0,0
2016-02-16,07:10:00,1.11538,1.11556,1.11533,1.11554,0,0
2016-02-16,07:15:00,1.11554,1.11581,1.11554,1.11581,0,0
2016-02-16,07:20:00,1.11579,1.11582,1.11545,1.11546,0,0
2016-02-16,07:25:00,1.11544,1.11592,1.11543,1.11558,0,0
2016-02-16,07:30:00,1.11559,1.11576,1.11558,1.11568,0,0
2016-02-16,07:35:00,1.11567,1.11588,1.11561,1.11566,0,0
2016-02-16,07:40:00,1.11565,1.11591,1.11563,1.11563,0,0
2016-02-16,07:45:00,1.11562,1.11588,1.11557,1.11587,0,0
2016-02-16,07:50:00,1.11587,1.11607,1.11577,1.11584,0,0
2016-02-16,07:55:00,1.11588,1.11607,1.11569,1.11572,0,0
2016-02-16,08:00:00,1.11577,1.11577,1.11528,1.11546,0,0
2016-02-16,08:05:00,1.11559,1.11569,1.11495,1.11549,0,0
2016-02-16,08:10:00,1.11569,1.11631,1.11545,1.11627,0,0
2016-02-16,08:15:00,1.11618,1.11661,1.11601,1.11661,0,0
2016-02-16,08:20:00,1.11659,1.11664,1.11636,1.11663,0,0
2016-02-16,08:25:00,1.11662,1.11676,1.11616,1.11676,0,0
2016-02-16,08:30:00,1.11668,1.11683,1.11616,1.11617,0,0
2016-02-16,08:35:00,1.11618,1.11628,1.1156,1.11573,0,0
2016-02-16,08:40:00,1.11577,1.11583,1.11553,1.11562,0,0
2016-02-16,08:45:00,1.11562,1.11603,1.11562,1.11595,0,0
2016-02-16,08:50:00,1.11591,1.11594,1.11554,1.11558,0,0
