Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-16,00:05:00,0.60517,0.60529,0.60497,0.60504,0,0
2016-02-16,00:10:00,0.60506,0.60536,0.6049,0.60519,0,0
2016-02-16,00:15:00,0.60518,0.60524,0.60503,0.6051,0,0
2016-02-16,00:20:00,0.6051,0.60513,0.60483,0.60491,0,0
2016-02-16,00:25:00,0.60497,0.60497,0.60465,0.60469,0,0
2016-02-16,00:30:00,0.6047,0.6049,0.60469,0.60488,0,0
2016-02-16,00:35:00,0.60486,0.60499,0.6048,0.60498,0,0
2016-02-16,00:40:00,0.60497,0.60508,0.60473,0.60479,0,0
2016-02-16,00:45:00,0.60475,0.60483,0.60472,0.60474,0,0
2016-02-16,00:50:00,0.60476,0.60503,0.60473,0.60499,0,0
2016-02-16,00:55:00,0.60502,0.60521,0.60497,0.60513,0,0
2016-02-16,01:00:00,0.60513,0.6053,0.60484,0.60501,0,0
2016-02-16,01:05:00,0.605,0.605,0.60452,0.60471,0,0
2016-02-16,01:10:00,0.60472,0.60549,0.60472,0.60534,0,0
2016-02-16,01:15:00,0.60535,0.60556,0.60513,0.60518,0,0
2016-02-16,01:20:00,0.60517,0.60526,0.60493,0.60509,0,0
2016-02-16,01:25:00,0.60505,0.60505,0.60453,0.60463,0,0
2016-02-16,01:30:00,0.60463,0.60513,0.60462,0.60499,0,0
2016-02-16,01:35:00,0.60495,0.60498,0.60397,0.60402,0,0
2016-02-16,01:40:00,0.60405,0.60445,0.60398,0.6044,0,0
2016-02-16,01:45:00,0.60442,0.60442,0.60376,0.60403,0,0
2016-02-16,01:50:00,0.60401,0.6043,0.60401,0.6043,0,0
2016-02-16,01:55:00,0.60426,0.60458,0.60393,0.60399,0,0
2016-02-16,02:00:00,0.60384,0.60411,0.60344,0.60375,0,0
2016-02-16,02:05:00,0.60372,0.60434,0.6036,0.60432,0,0
2016-02-16,02:10:00,0.60429,0.60436,0.60404,0.60421,0,0
2016-02-16,02:15:00,0.60422,0.60424,0.60369,0.60379,0,0
2016-02-16,02:20:00,0.60382,0.60433,0.60361,0.60409,0,0
2016-02-16,02:25:00,0.60409,0.60439,0.60396,0.60396,0,0
2016-02-16,02:30:00,0.6039,0.60405,0.60369,0.60391,0,0
2016-02-16,02:35:00,0.60387,0.60394,0.60362,0.60368,0,0
2016-02-16,02:40:00,0.60374,0.60403,0.60372,0.60382,0,0
2016-02-16,02:45:00,0.60393,0.60405,0.60385,0.60393,0,0
2016-02-16,02:50:00,0.60393,0.6044,0.60388,0.60433,0,0
2016-02-16,02:55:00,0.60433,0.60433,0.60367,0.60376,0,0
2016-02-16,03:00:00,0.60376,0.60401,0.60367,0.6038,0,0
2016-02-16,03:05:00,0.60391,0.60411,0.6037,0.60411,0,0
2016-02-16,03:10:00,0.60413,0.60433,0.60404,0.60414,0,0
2016-02-16,03:15:00,0.60415,0.60437,0.6041,0.60416,0,0
2016-02-16,03:20:00,0.60414,0.60441,0.60408,0.6042,0,0
2016-02-16,03:25:00,0.60422,0.60422,0.60391,0.60409,0,0
2016-02-16,03:30:00,0.60406,0.60421,0.60403,0.60404,0,0
2016-02-16,03:35:00,0.60406,0.60425,0.60384,0.604,0,0
2016-02-16,03:40:00,0.604,0.60412,0.60378,0.60386,0,0
2016-02-16,03:45:00,0.60377,0.60382,0.60347,0.60373,0,0
2016-02-16,03:50:00,0.60373,0.60405,0.60366,0.60382,0,0
2016-02-16,03:55:00,0.60381,0.60411,0.60372,0.60406,0,0
2016-02-16,04:00:00,0.60409,0.60422,0.60398,0.60413,0,0
2016-02-16,04:05:00,0.60419,0.60424,0.604,0.604,0,0
2016-02-16,04:10:00,0.60401,0.60425,0.60385,0.60387,0,0
2016-02-16,04:15:00,0.60387,0.60406,0.60385,0.60396,0,0
2016-02-16,04:20:00,0.60397,0.60401,0.6036,0.60366,0,0
2016-02-16,04:25:00,0.60365,0.60373,0.60351,0.60357,0,0
2016-02-16,04:30:00,0.60357,0.6036,0.60319,0.6034,0,0
2016-02-16,04:35:00,0.60337,0.6034,0.60302,0.60334,0,0
2016-02-16,04:40:00,0.60334,0.60352,0.60303,0.60348,0,0
2016-02-16,04:45:00,0.60346,0.60346,0.60319,0.60345,0,0
2016-02-16,04:50:00,0.60342,0.60361,0.60332,0.60356,0,0
2016-02-16,04:55:00,0.60357,0.60357,0.60339,0.60343,0,0
2016-02-16,05:00:00,0.60343,0.60349,0.60333,0.60335,0,0
2016-02-16,05:05:00,0.60332,0.60365,0.60323,0.60365,0,0
2016-02-16,05:10:00,0.60367,0.60379,0.60335,0.60351,0,0
2016-02-16,05:15:00,0.60352,0.60356,0.60333,0.60349,0,0
