Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-16,00:05:00,1.38343,1.38358,1.38292,1.38292,0,0
2016-02-16,00:10:00,1.38293,1.38334,1.38235,1.38299,0,0
2016-02-16,00:15:00,1.383,1.38363,1.38214,1.38249,0,0
2016-02-16,00:20:00,1.38227,1.38253,1.38218,1.38253,0,0
2016-02-16,00:25:00,1.38253,1.38253,1.38225,1.38229,0,0
2016-02-16,00:30:00,1.3823,1.38249,1.38211,1.38246,0,0
2016-02-16,00:35:00,1.38248,1.38278,1.38246,1.38273,0,0
2016-02-16,00:40:00,1.38273,1.3829,1.38273,1.38286,0,0
2016-02-16,00:45:00,1.3827,1.38272,1.38244,1.38253,0,0
2016-02-16,00:50:00,1.38253,1.3826,1.38245,1.3825,0,0
2016-02-16,00:55:00,1.38249,1.38265,1.38211,1.38211,0,0
2016-02-16,01:00:00,1.38207,1.38246,1.38199,1.38227,0,0
2016-02-16,01:05:00,1.38227,1.38238,1.38139,1.38157,0,0
2016-02-16,01:10:00,1.38156,1.38189,1.38155,1.3817,0,0
2016-02-16,01:15:00,1.3817,1.3817,1.3807,1.38075,0,0
2016-02-16,01:20:00,1.38074,1.38089,1.38059,1.38072,0,0
2016-02-16,01:25:00,1.38072,1.38072,1.37861,1.37878,0,0
2016-02-16,01:30:00,1.37885,1.37899,1.37866,1.37866,0,0
2016-02-16,01:35:00,1.37869,1.37876,1.37833,1.37842,0,0
2016-02-16,01:40:00,1.37844,1.37844,1.37743,1.37768,0,0
2016-02-16,01:45:00,1.37768,1.37842,1.37755,1.37829,0,0
2016-02-16,01:50:00,1.3783,1.3785,1.37797,1.37826,0,0
2016-02-16,01:55:00,1.37826,1.37873,1.37808,1.37812,0,0
2016-02-16,02:00:00,1.37805,1.37861,1.37805,1.37851,0,0
2016-02-16,02:05:00,1.3785,1.37909,1.37841,1.37904,0,0
2016-02-16,02:10:00,1.379,1.37928,1.37862,1.37912,0,0
2016-02-16,02:15:00,1.37912,1.37912,1.37839,1.37857,0,0
2016-02-16,02:20:00,1.37856,1.37877,1.37808,1.3783,0,0
2016-02-16,02:25:00,1.37826,1.37868,1.37819,1.37832,0,0
2016-02-16,02:30:00,1.37832,1.37869,1.37828,1.37861,0,0
2016-02-16,02:35:00,1.37861,1.3788,1.37846,1.37853,0,0
2016-02-16,02:40:00,1.3787,1.379,1.37861,1.3788,0,0
2016-02-16,02:45:00,1.379,1.37911,1.37882,1.379,0,0
2016-02-16,02:50:00,1.379,1.37924,1.37871,1.37907,0,0
2016-02-16,02:55:00,1.37909,1.37909,1.37834,1.37839,0,0
2016-02-16,03:00:00,1.3785,1.37866,1.37826,1.37826,0,0
