Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-16,01:35:00,1191.54,1193.11,1191.44,1192.26,0,0
2016-02-16,01:40:00,1192.23,1193.16,1192.22,1193.16,0,0
2016-02-16,01:45:00,1193.22,1193.74,1192.57,1192.94,0,0
2016-02-16,01:50:00,1192.88,1193.43,1191.83,1191.83,0,0
2016-02-16,01:55:00,1192.04,1192.79,1192.04,1192.08,0,0
2016-02-16,02:00:00,1192.24,1192.36,1191.56,1191.65,0,0
2016-02-16,02:05:00,1191.63,1192.44,1191.41,1191.72,0,0
2016-02-16,02:10:00,1191.77,1192.27,1191.47,1191.88,0,0
2016-02-16,02:15:00,1191.87,1191.87,1191.29,1191.29,0,0
2016-02-16,02:20:00,1191.28,1191.54,1190.56,1190.88,0,0
2016-02-16,02:25:00,1190.83,1191.2,1190.48,1190.8,0,0
2016-02-16,02:30:00,1190.75,1191.1,1190.67,1190.78,0,0
2016-02-16,02:35:00,1190.75,1191.16,1189.99,1190.19,0,0
2016-02-16,02:40:00,1190.27,1190.41,1188.15,1188.76,0,0
2016-02-16,02:45:00,1188.74,1188.96,1188.19,1188.48,0,0
2016-02-16,02:50:00,1188.48,1189.03,1188.04,1188.04,0,0
2016-02-16,02:55:00,1187.94,1188.03,1186.43,1187.05,0,0
2016-02-16,03:00:00,1187.07,1188.27,1187.07,1188.24,0,0
2016-02-16,03:05:00,1188.29,1188.32,1187.6,1188.18,0,0
2016-02-16,03:10:00,1188.16,1188.23,1186.73,1187.33,0,0
2016-02-16,03:15:00,1187.43,1187.65,1186.78,1186.9,0,0
2016-02-16,03:20:00,1186.93,1187.73,1186.8,1186.94,0,0
2016-02-16,03:25:00,1186.89,1187.15,1186.4,1186.4,0,0
2016-02-16,03:30:00,1186.46,1186.61,1185.98,1186.09,0,0
2016-02-16,03:35:00,1186.03,1186.13,1182.86,1183.31,0,0
2016-02-16,03:40:00,1183.34,1183.39,1181.01,1181.84,0,0
2016-02-16,03:45:00,1181.73,1181.86,1180.1,1181.38,0,0
2016-02-16,03:50:00,1181.54,1183.11,1180.85,1183.11,0,0
2016-02-16,03:55:00,1183.11,1183.25,1182.16,1182.91,0,0
2016-02-16,04:00:00,1182.91,1183.43,1182.65,1182.66,0,0
2016-02-16,04:05:00,1182.54,1182.54,1181.01,1181.39,0,0
2016-02-16,04:10:00,1181.49,1182.48,1181.27,1181.42,0,0
2016-02-16,04:15:00,1181.36,1181.36,1180.74,1181.11,0,0
2016-02-16,04:20:00,1181.11,1181.31,1180.79,1181.17,0,0
2016-02-16,04:25:00,1181.07,1181.1,1180.4,1180.93,0,0
2016-02-16,04:30:00,1180.93,1180.99,1179.32,1179.32,0,0
2016-02-16,04:35:00,1179.31,1179.51,1178.49,1179.12,0,0
2016-02-16,04:40:00,1179.14,1179.82,1178.49,1179.75,0,0
2016-02-16,04:45:00,1179.74,1180.58,1178.4,1178.73,0,0
2016-02-16,04:50:00,1178.65,1179.38,1177.74,1179.14,0,0
2016-02-16,04:55:00,1179.17,1179.51,1179.12,1179.42,0,0
2016-02-16,05:00:00,1179.5,1179.5,1178.58,1178.58,0,0
2016-02-16,05:05:00,1178.58,1179.33,1177.8,1178.81,0,0
2016-02-16,05:10:00,1178.8,1178.8,1177.36,1178.12,0,0
2016-02-16,05:15:00,1178.08,1178.32,1176.98,1177.93,0,0
2016-02-16,05:20:00,1177.81,1178.54,1177.64,1178.25,0,0
2016-02-16,05:25:00,1178.33,1179.23,1178.32,1179.23,0,0
2016-02-16,05:30:00,1179.21,1180.25,1179.16,1180.13,0,0
2016-02-16,05:35:00,1179.9,1180.13,1179.52,1179.97,0,0
2016-02-16,05:40:00,1179.9,1180.27,1179.74,1179.84,0,0
2016-02-16,05:45:00,1179.84,1180.18,1179.52,1180.17,0,0
2016-02-16,05:50:00,1180.17,1180.17,1179.53,1179.84,0,0
2016-02-16,05:55:00,1179.88,1180.17,1179.64,1180.15,0,0
2016-02-16,06:00:00,1180.18,1180.4,1179.75,1179.88,0,0
2016-02-16,06:05:00,1179.88,1180.27,1179.64,1179.9,0,0
2016-02-16,06:10:00,1179.95,1180.47,1179.87,1179.99,0,0
2016-02-16,06:15:00,1179.88,1180.24,1179.82,1180,0,0
2016-02-16,06:20:00,1180.04,1180.06,1179.48,1179.59,0,0
2016-02-16,06:25:00,1179.59,1180,1179.38,1179.94,0,0
2016-02-16,06:30:00,1179.96,1179.97,1179.62,1179.75,0,0
2016-02-16,06:35:00,1179.74,1181.81,1179.74,1181.67,0,0
2016-02-16,06:40:00,1181.71,1182.26,1180.9,1182.26,0,0
2016-02-16,06:45:00,1182.24,1182.73,1181.76,1182.53,0,0
2016-02-16,06:50:00,1182.71,1182.83,1182.14,1182.58,0,0
2016-02-16,06:55:00,1182.58,1183.43,1182.58,1183.41,0,0
2016-02-16,07:00:00,1183.35,1183.37,1182.8,1183.26,0,0
2016-02-16,07:05:00,1183.34,1183.34,1182.82,1182.91,0,0
2016-02-16,07:10:00,1182.9,1182.9,1182.55,1182.71,0,0
2016-02-16,07:15:00,1182.67,1182.87,1182.08,1182.63,0,0
2016-02-16,07:20:00,1182.68,1182.82,1182.56,1182.64,0,0
2016-02-16,07:25:00,1182.64,1183.25,1182.52,1183.25,0,0
2016-02-16,07:30:00,1183.25,1184.43,1182.67,1182.67,0,0
2016-02-16,07:35:00,1182.68,1183.44,1182.68,1183.35,0,0
2016-02-16,07:40:00,1183.31,1184.39,1183.31,1184.39,0,0
2016-02-16,07:45:00,1184.41,1185.31,1184.08,1184.65,0,0
2016-02-16,07:50:00,1184.54,1186.16,1184.54,1185.41,0,0
2016-02-16,07:55:00,1185.3,1187.48,1185.3,1187.23,0,0
2016-02-16,08:00:00,1187.23,1188,1186.86,1186.87,0,0
2016-02-16,08:05:00,1186.82,1186.82,1185.53,1185.71,0,0
2016-02-16,08:10:00,1185.5,1186.48,1185.5,1186.12,0,0
2016-02-16,08:15:00,1186.18,1187.23,1186.14,1187,0,0
2016-02-16,08:20:00,1187.21,1187.31,1186.49,1186.53,0,0
2016-02-16,08:25:00,1186.53,1186.98,1184.33,1185.34,0,0
2016-02-16,08:30:00,1185.33,1185.44,1184.54,1185.26,0,0
2016-02-16,08:35:00,1185.27,1186.08,1184.98,1186.05,0,0
2016-02-16,08:40:00,1186.06,1186.23,1185.61,1186.11,0,0
2016-02-16,08:45:00,1186.16,1186.42,1185.85,1185.97,0,0
2016-02-16,08:50:00,1185.89,1185.89,1183.47,1183.47,0,0
2016-02-16,08:55:00,1183.47,1183.63,1181.65,1182.57,0,0
2016-02-16,09:00:00,1182.58,1182.66,1180.9,1180.97,0,0
2016-02-16,09:05:00,1180.7,1182.15,1180.1,1181.95,0,0
2016-02-16,09:10:00,1181.93,1184.54,1181.93,1184.54,0,0
2016-02-16,09:15:00,1184.46,1184.47,1183.5,1183.98,0,0
2016-02-16,09:20:00,1184,1184.04,1183.25,1183.88,0,0
2016-02-16,09:25:00,1183.87,1185.17,1183.81,1185.08,0,0
2016-02-16,09:30:00,1185.08,1185.59,1184.62,1184.69,0,0
2016-02-16,09:35:00,1184.79,1185.35,1184.28,1184.43,0,0
2016-02-16,09:40:00,1184.34,1184.34,1181.98,1182.4,0,0
2016-02-16,09:45:00,1182.26,1184.16,1181.98,1184.16,0,0
2016-02-16,09:50:00,1184.2,1184.6,1183.56,1184.6,0,0
2016-02-16,09:55:00,1184.69,1184.94,1183.55,1184.28,0,0
2016-02-16,10:00:00,1184.27,1184.99,1183.74,1183.74,0,0
2016-02-16,10:05:00,1183.72,1187.7,1183.72,1187.54,0,0
2016-02-16,10:10:00,1187.78,1188.69,1186.78,1188.26,0,0
2016-02-16,10:15:00,1188.37,1189.89,1188.09,1188.49,0,0
2016-02-16,10:20:00,1188.6,1189.84,1188.29,1189.84,0,0
2016-02-16,10:25:00,1189.75,1190.79,1189.62,1190.26,0,0
2016-02-16,10:30:00,1190.18,1190.64,1189.49,1189.63,0,0
2016-02-16,10:35:00,1189.73,1190.6,1189.29,1189.8,0,0
2016-02-16,10:40:00,1189.79,1190.06,1189.33,1190.05,0,0
2016-02-16,10:45:00,1189.96,1191.68,1189.91,1191.28,0,0
2016-02-16,10:50:00,1191.29,1192.01,1190.69,1191.94,0,0
2016-02-16,10:55:00,1191.87,1192.67,1191.48,1192.45,0,0
2016-02-16,11:00:00,1192.55,1194.4,1192.55,1194.4,0,0
2016-02-16,11:05:00,1194.42,1196.39,1194.32,1195.72,0,0
2016-02-16,11:10:00,1195.6,1195.6,1194.38,1194.45,0,0
2016-02-16,11:15:00,1194.41,1195.76,1194.37,1195.21,0,0
2016-02-16,11:20:00,1195.09,1195.7,1195.08,1195.46,0,0
2016-02-16,11:25:00,1195.43,1196.1,1194.73,1195.04,0,0
2016-02-16,11:30:00,1194.82,1195.19,1194.23,1195,0,0
2016-02-16,11:35:00,1195.14,1196.82,1194.85,1196.6,0,0
2016-02-16,11:40:00,1196.65,1197.73,1196.54,1197.7,0,0
2016-02-16,11:45:00,1197.67,1197.67,1196.82,1196.82,0,0
2016-02-16,11:50:00,1196.13,1196.88,1196.13,1196.85,0,0
2016-02-16,11:55:00,1196.85,1197.76,1196.62,1196.71,0,0
2016-02-16,12:00:00,1196.51,1196.78,1195.92,1196.03,0,0
2016-02-16,12:05:00,1195.8,1196.07,1195.04,1196.07,0,0
2016-02-16,12:10:00,1196.13,1197.55,1196.05,1197.18,0,0
2016-02-16,12:15:00,1197.27,1198.08,1196.6,1196.69,0,0
2016-02-16,12:20:00,1196.65,1196.94,1196.07,1196.81,0,0
2016-02-16,12:25:00,1196.83,1197.99,1196.63,1197.88,0,0
2016-02-16,12:30:00,1197.94,1200.85,1197.88,1199.77,0,0
2016-02-16,12:35:00,1199.75,1200.61,1199.56,1200.55,0,0
2016-02-16,12:40:00,1200.56,1200.56,1199.08,1199.83,0,0
2016-02-16,12:45:00,1199.76,1200.59,1199.66,1199.86,0,0
2016-02-16,12:50:00,1199.78,1200.31,1199.4,1199.63,0,0
2016-02-16,12:55:00,1199.66,1201.26,1198.99,1200.91,0,0
2016-02-16,13:00:00,1200.93,1200.93,1199.83,1199.97,0,0
2016-02-16,13:05:00,1199.92,1200.27,1199.43,1199.79,0,0
2016-02-16,13:10:00,1199.78,1199.92,1197.96,1198.06,0,0
2016-02-16,13:15:00,1198.11,1199.36,1198.05,1198.99,0,0
2016-02-16,13:20:00,1198.95,1199.5,1198.43,1199.16,0,0
2016-02-16,13:25:00,1199.12,1200.11,1199.02,1199.4,0,0
2016-02-16,13:30:00,1199.45,1200.06,1199.19,1199.44,0,0
2016-02-16,13:35:00,1199.31,1199.31,1197.26,1197.31,0,0
2016-02-16,13:40:00,1197.32,1198.59,1196.61,1198.43,0,0
2016-02-16,13:45:00,1198.46,1199.85,1198.46,1199.59,0,0
2016-02-16,13:50:00,1199.5,1200.53,1199.19,1200.02,0,0
2016-02-16,13:55:00,1200.11,1200.31,1197.88,1198.06,0,0
2016-02-16,14:00:00,1198.02,1198.6,1197.88,1198.02,0,0
2016-02-16,14:05:00,1197.96,1198.09,1195.75,1196.02,0,0
2016-02-16,14:10:00,1196.1,1197.67,1195.79,1197.2,0,0
2016-02-16,14:15:00,1197.28,1197.28,1195.87,1195.97,0,0
2016-02-16,14:20:00,1195.64,1196.02,1194.23,1194.26,0,0
2016-02-16,14:25:00,1194.41,1197.09,1194.41,1196.57,0,0
2016-02-16,14:30:00,1196.65,1197.17,1196.31,1196.43,0,0
2016-02-16,14:35:00,1196.86,1197.64,1196.27,1196.46,0,0
2016-02-16,14:40:00,1196.61,1197.55,1196.6,1197.47,0,0
2016-02-16,14:45:00,1197.5,1199,1197.5,1198.48,0,0
2016-02-16,14:50:00,1198.47,1198.58,1197.85,1198.2,0,0
2016-02-16,14:55:00,1197.97,1198.87,1197.31,1198.76,0,0
2016-02-16,15:00:00,1198.74,1199.1,1197.86,1198.36,0,0
2016-02-16,15:05:00,1198.42,1198.66,1197.53,1197.99,0,0
2016-02-16,15:10:00,1198.15,1198.15,1196.32,1196.32,0,0
2016-02-16,15:15:00,1196.5,1197.21,1195.1,1195.28,0,0
2016-02-16,15:20:00,1195.37,1195.79,1195.12,1195.72,0,0
