Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-16,01:35:00,1081.41,1082.98,1081.3,1082.21,0,0
2016-02-16,01:40:00,1082.16,1083.09,1082.16,1082.98,0,0
2016-02-16,01:45:00,1083.04,1083.45,1082.49,1082.85,0,0
2016-02-16,01:50:00,1082.79,1083.24,1081.71,1081.71,0,0
2016-02-16,01:55:00,1081.98,1082.53,1081.9,1081.9,0,0
2016-02-16,02:00:00,1081.89,1082.17,1081.34,1081.34,0,0
2016-02-16,02:05:00,1081.31,1082.31,1081.13,1081.33,0,0
2016-02-16,02:10:00,1081.37,1081.75,1081.01,1081.45,0,0
2016-02-16,02:15:00,1081.45,1081.48,1080.84,1080.84,0,0
2016-02-16,02:20:00,1080.82,1081.01,1080,1080.28,0,0
2016-02-16,02:25:00,1080.2,1080.66,1079.96,1080.49,0,0
2016-02-16,02:30:00,1080.5,1080.87,1080.35,1080.49,0,0
2016-02-16,02:35:00,1080.47,1080.58,1079.67,1079.86,0,0
2016-02-16,02:40:00,1079.9,1080.09,1078.01,1078.68,0,0
2016-02-16,02:45:00,1078.54,1078.64,1077.78,1077.97,0,0
2016-02-16,02:50:00,1077.97,1078.5,1077.55,1077.55,0,0
2016-02-16,02:55:00,1077.42,1077.51,1076.26,1076.88,0,0
2016-02-16,03:00:00,1076.89,1077.71,1076.89,1077.69,0,0
2016-02-16,03:05:00,1077.69,1077.84,1077.27,1077.74,0,0
2016-02-16,03:10:00,1077.71,1077.71,1076.49,1076.88,0,0
2016-02-16,03:15:00,1076.97,1077.35,1076.56,1076.63,0,0
2016-02-16,03:20:00,1076.7,1077.34,1076.41,1076.56,0,0
2016-02-16,03:25:00,1076.49,1076.79,1076.05,1076.05,0,0
2016-02-16,03:30:00,1076.24,1076.37,1075.83,1076.03,0,0
2016-02-16,03:35:00,1075.93,1076,1073.02,1073.31,0,0
2016-02-16,03:40:00,1073.34,1073.4,1071.34,1072.17,0,0
2016-02-16,03:45:00,1072.08,1072.1,1070.48,1071.62,0,0
2016-02-16,03:50:00,1071.78,1073.15,1071.17,1073.15,0,0
2016-02-16,03:55:00,1073.15,1073.3,1072.35,1073.05,0,0
2016-02-16,04:00:00,1073.03,1073.73,1073.03,1073.16,0,0
2016-02-16,04:05:00,1073.03,1073.03,1071.74,1072.07,0,0
2016-02-16,04:10:00,1072.14,1072.58,1071.9,1072.04,0,0
2016-02-16,04:15:00,1072.02,1072.02,1071.35,1071.59,0,0
2016-02-16,04:20:00,1071.6,1071.82,1071.35,1071.64,0,0
2016-02-16,04:25:00,1071.6,1071.61,1071.03,1071.51,0,0
2016-02-16,04:30:00,1071.51,1071.58,1070.34,1070.34,0,0
2016-02-16,04:35:00,1070.32,1070.49,1069.56,1069.95,0,0
2016-02-16,04:40:00,1069.93,1070.5,1069.35,1070.43,0,0
2016-02-16,04:45:00,1070.43,1071.21,1069.5,1069.86,0,0
2016-02-16,04:50:00,1069.77,1070.3,1068.93,1070.03,0,0
2016-02-16,04:55:00,1070.07,1070.49,1069.98,1070.36,0,0
