Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-16,01:35:00,1382.87,1385.64,1382.64,1384.37,0,0
2016-02-16,01:40:00,1384.45,1385.6,1384.21,1384.96,0,0
2016-02-16,01:45:00,1384.96,1385.94,1384.65,1384.89,0,0
2016-02-16,01:50:00,1384.91,1385.27,1383.29,1383.29,0,0
2016-02-16,01:55:00,1383.05,1384.74,1383.05,1384.74,0,0
2016-02-16,02:00:00,1384.75,1386.24,1384.51,1385.39,0,0
2016-02-16,02:05:00,1385.39,1386.25,1384.12,1384.14,0,0
2016-02-16,02:10:00,1384.29,1385.53,1384.07,1384.86,0,0
2016-02-16,02:15:00,1384.91,1385.44,1384.49,1384.88,0,0
2016-02-16,02:20:00,1385.06,1385.48,1383.47,1383.64,0,0
2016-02-16,02:25:00,1383.95,1384.46,1383.44,1384.35,0,0
2016-02-16,02:30:00,1384.35,1384.85,1384.07,1384.12,0,0
2016-02-16,02:35:00,1384.11,1384.76,1383.35,1383.56,0,0
2016-02-16,02:40:00,1383.58,1383.7,1380.92,1381.77,0,0
2016-02-16,02:45:00,1381.77,1381.77,1380.25,1380.41,0,0
2016-02-16,02:50:00,1380.48,1380.79,1379.17,1379.34,0,0
2016-02-16,02:55:00,1379.19,1379.53,1378.02,1379.53,0,0
2016-02-16,03:00:00,1379.26,1380.08,1379.05,1380.02,0,0
2016-02-16,03:05:00,1379.99,1380.1,1379.28,1379.85,0,0
2016-02-16,03:10:00,1379.88,1379.91,1378.37,1379.06,0,0
2016-02-16,03:15:00,1379,1379.37,1378.11,1378.36,0,0
2016-02-16,03:20:00,1378.36,1379.2,1378.33,1378.33,0,0
2016-02-16,03:25:00,1378.62,1379.24,1378.49,1378.5,0,0
2016-02-16,03:30:00,1378.42,1378.53,1377.85,1378.04,0,0
2016-02-16,03:35:00,1378.04,1378.08,1374.23,1374.67,0,0
2016-02-16,03:40:00,1374.67,1374.73,1371.98,1373.16,0,0
2016-02-16,03:45:00,1373.05,1373.3,1371.2,1371.95,0,0
2016-02-16,03:50:00,1372.52,1374.4,1371.88,1374.4,0,0
2016-02-16,03:55:00,1374.39,1374.57,1372.94,1374.09,0,0
2016-02-16,04:00:00,1374.12,1374.79,1373.9,1373.9,0,0
2016-02-16,04:05:00,1373.9,1373.9,1372.13,1372.77,0,0
2016-02-16,04:10:00,1372.77,1373.03,1372.36,1372.55,0,0
2016-02-16,04:15:00,1372.61,1372.63,1371.75,1372.03,0,0
2016-02-16,04:20:00,1372.02,1372.83,1371.91,1372.68,0,0
2016-02-16,04:25:00,1372.72,1372.72,1371.64,1372.34,0,0
2016-02-16,04:30:00,1372.34,1372.93,1371.5,1371.51,0,0
2016-02-16,04:35:00,1371.24,1371.59,1370.4,1370.68,0,0
2016-02-16,04:40:00,1370.55,1371.28,1369.97,1371.28,0,0
2016-02-16,04:45:00,1371.22,1372.2,1369.88,1369.93,0,0
2016-02-16,04:50:00,1369.93,1370.85,1369.02,1370.56,0,0
2016-02-16,04:55:00,1370.56,1371.1,1370.56,1371,0,0
