Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-16,01:35:00,1207.65,1208.97,1207.52,1208.03,0,0
2016-02-16,01:40:00,1208,1208.93,1208,1208.93,0,0
2016-02-16,01:45:00,1209.01,1209.15,1208.14,1208.41,0,0
2016-02-16,01:50:00,1208.35,1208.81,1207.43,1207.43,0,0
2016-02-16,01:55:00,1207.64,1208.5,1207.57,1208.26,0,0
2016-02-16,02:00:00,1208.26,1208.33,1208.13,1208.23,0,0
2016-02-16,02:05:00,1208.23,1208.73,1207.52,1207.87,0,0
2016-02-16,02:10:00,1207.88,1208.51,1207.75,1208.23,0,0
2016-02-16,02:15:00,1208.23,1208.28,1207.68,1207.68,0,0
2016-02-16,02:20:00,1207.67,1208.15,1207.42,1207.75,0,0
2016-02-16,02:25:00,1207.7,1208.54,1207.45,1207.88,0,0
2016-02-16,02:30:00,1207.83,1207.93,1207.52,1207.61,0,0
2016-02-16,02:35:00,1207.58,1207.79,1206.63,1206.83,0,0
2016-02-16,02:40:00,1206.98,1207.08,1204.72,1205.3,0,0
2016-02-16,02:45:00,1205.3,1205.52,1204.28,1204.45,0,0
2016-02-16,02:50:00,1204.45,1205.13,1204.15,1204.15,0,0
2016-02-16,02:55:00,1204.08,1204.19,1202.58,1203.29,0,0
2016-02-16,03:00:00,1203.31,1204.42,1203.31,1204.39,0,0
2016-02-16,03:05:00,1204.45,1204.5,1203.63,1204.23,0,0
2016-02-16,03:10:00,1204.21,1204.3,1203.12,1203.62,0,0
2016-02-16,03:15:00,1203.72,1203.89,1202.99,1203.07,0,0
2016-02-16,03:20:00,1203.07,1203.76,1202.99,1203.12,0,0
2016-02-16,03:25:00,1203.04,1203.13,1202.37,1202.37,0,0
2016-02-16,03:30:00,1202.37,1202.57,1201.88,1201.88,0,0
2016-02-16,03:35:00,1201.88,1201.94,1198.35,1198.72,0,0
2016-02-16,03:40:00,1198.75,1198.75,1196.14,1197.05,0,0
2016-02-16,03:45:00,1196.94,1196.95,1195.08,1196.35,0,0
2016-02-16,03:50:00,1196.51,1197.98,1195.91,1197.88,0,0
2016-02-16,03:55:00,1197.88,1198.15,1197.15,1197.96,0,0
2016-02-16,04:00:00,1197.96,1198.69,1197.96,1198.14,0,0
2016-02-16,04:05:00,1198.02,1198.02,1196.47,1196.87,0,0
2016-02-16,04:10:00,1196.97,1197.4,1196.38,1196.46,0,0
2016-02-16,04:15:00,1196.46,1196.5,1195.9,1196.36,0,0
2016-02-16,04:20:00,1196.36,1196.45,1196.02,1196.36,0,0
2016-02-16,04:25:00,1196.31,1196.31,1195.44,1195.95,0,0
2016-02-16,04:30:00,1195.95,1196.05,1194.53,1194.53,0,0
2016-02-16,04:35:00,1194.5,1194.7,1193.31,1193.81,0,0
2016-02-16,04:40:00,1193.8,1194.37,1193.02,1194.28,0,0
2016-02-16,04:45:00,1194.27,1195.11,1193.07,1193.28,0,0
2016-02-16,04:50:00,1193.18,1194.13,1192.44,1193.87,0,0
2016-02-16,04:55:00,1193.9,1194.07,1193.67,1194.01,0,0
2016-02-16,05:00:00,1194.07,1194.07,1193.03,1193.03,0,0
2016-02-16,05:05:00,1193.03,1193.45,1191.93,1192.97,0,0
2016-02-16,05:10:00,1192.97,1192.97,1191.51,1192.38,0,0
2016-02-16,05:15:00,1192.33,1192.56,1191.19,1192.16,0,0
2016-02-16,05:20:00,1192.04,1192.62,1191.92,1192.04,0,0
2016-02-16,05:25:00,1192.13,1193.14,1192.12,1193.14,0,0
2016-02-16,05:30:00,1193.12,1193.92,1193.1,1193.82,0,0
2016-02-16,05:35:00,1193.59,1194.03,1193.26,1193.78,0,0
2016-02-16,05:40:00,1193.72,1194.11,1193.58,1193.83,0,0
2016-02-16,05:45:00,1193.83,1194.63,1193.83,1194.6,0,0
2016-02-16,05:50:00,1194.6,1194.6,1193.98,1194.28,0,0
2016-02-16,05:55:00,1194.32,1194.32,1193.63,1194.18,0,0
2016-02-16,06:00:00,1194.19,1194.43,1193.97,1193.97,0,0
2016-02-16,06:05:00,1193.97,1194.12,1193.74,1193.85,0,0
2016-02-16,06:10:00,1193.85,1194.43,1193.73,1193.87,0,0
