Date,Rate,High (est),Low (est)
2015-07-27,10.7356,0.0,0.0
2015-07-24,10.7938,10.915,10.674
2015-07-23,10.8409,0.0,0.0
2015-07-22,10.8864,11.016,10.759
2015-07-21,10.921,11.057,10.787
2015-07-20,10.9025,11.031,10.775
2015-07-17,10.828,0.0,0.0
2015-07-16,10.746,0.0,0.0
2015-07-15,10.6636,10.785,10.544
2015-07-14,10.5879,10.714,10.463
2015-07-13,10.5345,0.0,0.0
2015-07-10,10.5494,0.0,0.0
2015-07-09,10.6233,0.0,0.0
2015-07-08,10.6961,0.0,0.0
2015-07-07,10.6751,0.0,0.0
2015-07-06,10.6616,0.0,0.0
2015-07-03,10.7021,0.0,0.0
2015-07-02,10.6931,0.0,0.0
2015-07-01,10.7033,10.823,10.585
2015-06-30,10.725,0.0,0.0
2015-06-29,10.6766,10.804,10.551
2015-06-26,10.6528,0.0,0.0
2015-06-25,10.6481,10.781,10.517
2015-06-24,10.5978,10.727,10.47
2015-06-23,10.5766,0.0,0.0
2015-06-22,10.59,10.71,10.472
2015-06-19,10.5667,0.0,0.0
2015-06-18,10.5405,10.664,10.419
2015-06-17,10.4881,10.607,10.37
2015-06-16,10.4639,10.585,10.344
2015-06-15,10.4344,10.559,10.311
2015-06-12,10.3571,10.48,10.236
2015-06-11,10.3006,0.0,0.0
2015-06-10,10.2944,10.411,10.179
2015-06-09,10.3507,0.0,0.0
2015-06-08,10.3476,10.469,10.227
2015-06-05,10.3214,10.439,10.205
2015-06-04,10.4128,10.531,10.296
2015-06-03,10.5094,10.632,10.388
2015-06-02,10.5421,0.0,0.0
2015-06-01,10.5689,10.696,10.443
2015-05-29,10.6597,0.0,0.0
2015-05-28,10.681,0.0,0.0
2015-05-27,10.6532,0.0,0.0
2015-05-26,10.6269,10.757,10.498
2015-05-25,10.6059,0.0,0.0
2015-05-22,10.554,0.0,0.0
2015-05-21,10.4908,10.613,10.37
2015-05-20,10.4249,10.551,10.301
2015-05-19,10.3638,0.0,0.0
2015-05-18,10.3838,10.501,10.268
2015-05-15,10.4874,0.0,0.0
2015-05-14,10.5405,0.0,0.0
2015-05-13,10.523,0.0,0.0
2015-05-12,10.4554,0.0,0.0
2015-05-11,10.3327,0.0,0.0
2015-05-08,10.2144,0.0,0.0
2015-05-07,10.2688,0.0,0.0
2015-05-06,10.2943,10.414,10.176
2015-05-05,10.262,0.0,0.0
2015-05-04,10.3236,0.0,0.0
2015-05-01,10.4993,0.0,0.0
2015-04-30,10.5871,10.719,10.457
2015-04-29,10.6166,10.745,10.49
2015-04-28,10.6306,10.754,10.508
2015-04-27,10.6268,0.0,0.0
2015-04-24,10.5891,0.0,0.0
2015-04-23,10.553,0.0,0.0
2015-04-22,10.5137,0.0,0.0
2015-04-21,10.4912,0.0,0.0
2015-04-20,10.4977,0.0,0.0
2015-04-17,10.5262,0.0,0.0
2015-04-16,10.5213,0.0,0.0
2015-04-15,10.4928,10.615,10.372
2015-04-14,10.4605,0.0,0.0
2015-04-13,10.4609,10.579,10.344
2015-04-10,10.4685,0.0,0.0
2015-04-09,10.437,10.563,10.312
2015-04-08,10.3991,0.0,0.0
2015-04-07,10.3741,0.0,0.0
2015-04-06,10.4051,10.522,10.289
2015-04-03,10.4875,10.609,10.367
2015-04-02,10.5218,10.652,10.393
2015-04-01,10.4857,10.602,10.37
2015-03-31,10.4383,10.564,10.314
2015-03-30,10.4053,0.0,0.0
2015-03-27,10.3914,10.509,10.275
2015-03-26,10.4055,10.534,10.279
2015-03-25,10.4507,0.0,0.0
2015-03-24,10.5162,0.0,0.0
2015-03-23,10.5705,0.0,0.0
2015-03-20,10.5946,0.0,0.0
2015-03-19,10.6325,0.0,0.0
2015-03-18,10.6909,10.816,10.568
2015-03-17,10.7143,10.835,10.595
2015-03-16,10.7402,10.862,10.619
2015-03-13,10.7811,10.905,10.659
2015-03-12,10.7373,10.86,10.616
2015-03-11,10.6347,0.0,0.0
2015-03-10,10.5663,10.688,10.446
2015-03-09,10.5454,10.674,10.419
2015-03-06,10.5582,10.68,10.438
2015-03-05,10.5479,10.672,10.425
2015-03-04,10.5476,0.0,0.0
2015-03-03,10.5639,0.0,0.0
2015-03-02,10.5616,10.693,10.432
2015-02-27,10.526,10.647,10.406
2015-02-26,10.5048,0.0,0.0
2015-02-25,10.4921,10.612,10.373
2015-02-24,10.4519,0.0,0.0
2015-02-23,10.446,10.568,10.325
2015-02-20,10.4541,10.576,10.333
2015-02-19,10.4302,10.551,10.311
2015-02-18,10.4188,0.0,0.0
2015-02-17,10.4132,0.0,0.0
2015-02-16,10.4069,0.0,0.0
2015-02-13,10.4088,10.534,10.286
2015-02-12,10.4046,10.534,10.277
2015-02-11,10.3833,10.511,10.257
2015-02-10,10.3734,0.0,0.0
2015-02-09,10.3501,10.479,10.223
2015-02-06,10.2814,10.4,10.164
2015-02-05,10.2161,10.331,10.102
2015-02-04,10.209,10.327,10.092
2015-02-03,10.2431,0.0,0.0
2015-02-02,10.2767,0.0,0.0
2015-01-30,10.2944,10.413,10.177
2015-01-29,10.2941,0.0,0.0
2015-01-28,10.3011,10.419,10.185
2015-01-27,10.3261,10.449,10.205
2015-01-26,10.2678,10.389,10.148
2015-01-23,10.0881,10.203,9.9743
2015-01-22,10.0663,10.185,9.9487
2015-01-21,10.0532,0.0,0.0
2015-01-20,10.0594,10.182,9.9384
2015-01-19,10.0771,10.194,9.9619
2015-01-16,9.99778,0.0,0.0
2015-01-15,9.86522,9.9751,9.7565
2015-01-14,9.8451,0.0,0.0
2015-01-13,9.82978,0.0,0.0
2015-01-12,9.81786,0.0,0.0
2015-01-09,9.80095,9.9106,9.6925
2015-01-08,9.7909,9.9037,9.6794
2015-01-07,9.79958,0.0,0.0
2015-01-06,9.80684,0.0,0.0
2015-01-05,9.82118,0.0,0.0
2015-01-02,9.84692,9.9638,9.7314
2015-01-01,9.81104,9.9224,9.7009
2014-12-31,9.7856,9.8976,9.6749
2014-12-30,9.77951,0.0,0.0
2014-12-29,9.77698,0.0,0.0
2014-12-26,9.77307,0.0,0.0
2014-12-25,9.76447,0.0,0.0
2014-12-24,9.77013,9.8866,9.655
2014-12-23,9.78772,0.0,0.0
2014-12-22,9.77095,9.8834,9.6598
2014-12-19,9.70292,0.0,0.0
2014-12-18,9.65587,9.7694,9.5437
2014-12-17,9.64993,0.0,0.0
2014-12-16,9.67634,9.7891,9.5649
2014-12-15,9.68609,9.8014,9.5722
2014-12-12,9.69475,9.8107,9.5801
2014-12-11,9.70721,9.8281,9.5878
2014-12-10,9.72634,9.8473,9.6068
2014-12-09,9.73437,9.8466,9.6234
2014-12-08,9.7403,0.0,0.0
2014-12-05,9.74761,9.8568,9.6397
2014-12-04,9.71736,0.0,0.0
2014-12-03,9.67651,0.0,0.0
2014-12-02,9.65725,9.7685,9.5473
2014-12-01,9.67003,0.0,0.0
2014-11-28,9.68596,0.0,0.0
2014-11-27,9.67664,0.0,0.0
2014-11-26,9.68065,0.0,0.0
2014-11-25,9.69566,0.0,0.0
2014-11-24,9.66654,0.0,0.0
2014-11-21,9.59162,0.0,0.0
2014-11-20,9.59006,0.0,0.0
2014-11-19,9.61167,9.729,9.4958
2014-11-18,9.60776,9.7218,9.495
2014-11-17,9.62795,9.7395,9.5177
2014-11-14,9.72482,0.0,0.0
2014-11-13,9.77,0.0,0.0
2014-11-12,9.77478,0.0,0.0
2014-11-11,9.76887,9.8908,9.6485
2014-11-10,9.77561,9.8853,9.6672
2014-11-07,9.78812,0.0,0.0
2014-11-06,9.78133,0.0,0.0
2014-11-05,9.79683,0.0,0.0
2014-11-04,9.80333,0.0,0.0
2014-11-03,9.75953,9.8698,9.6505
2014-10-31,9.70656,9.8236,9.5909
2014-10-30,9.71548,0.0,0.0
2014-10-29,9.73375,0.0,0.0
2014-10-28,9.73928,0.0,0.0
2014-10-27,9.73269,0.0,0.0
2014-10-24,9.71877,9.8347,9.6042
2014-10-23,9.70596,0.0,0.0
2014-10-22,9.68717,0.0,0.0
2014-10-21,9.67416,9.7932,9.5565
2014-10-20,9.63525,0.0,0.0
2014-10-17,9.59329,9.7008,9.4869
2014-10-16,9.62206,9.73,9.5153
2014-10-15,9.67115,9.7821,9.5615
2014-10-14,9.7201,0.0,0.0
2014-10-13,9.72484,0.0,0.0
2014-10-10,9.70793,9.8218,9.5953
2014-10-09,9.71384,9.8308,9.5982
2014-10-08,9.72827,9.8403,9.6175
2014-10-07,9.73891,9.8525,9.6267
2014-10-06,9.75752,0.0,0.0
2014-10-03,9.78678,9.8984,9.6765
2014-10-02,9.8093,0.0,0.0
2014-10-01,9.78991,9.9113,9.67
2014-09-30,9.77136,9.8831,9.6609
2014-09-29,9.76771,9.8844,9.6524
2014-09-26,9.74828,9.8652,9.6328
2014-09-25,9.72426,0.0,0.0
2014-09-24,9.70478,0.0,0.0
2014-09-23,9.69161,0.0,0.0
2014-09-22,9.67133,0.0,0.0
2014-09-19,9.63405,9.7449,9.5244
2014-09-18,9.57531,9.6871,9.4648
2014-09-17,9.55493,0.0,0.0
2014-09-16,9.56518,9.6724,9.4591
2014-09-15,9.56526,0.0,0.0
2014-09-12,9.54282,0.0,0.0
2014-09-11,9.50696,9.6244,9.3909
2014-09-10,9.51391,9.6303,9.3989
2014-09-09,9.55738,9.6727,9.4434
2014-09-08,9.59967,9.719,9.4818
2014-09-05,9.56093,9.6762,9.447
2014-09-04,9.562,9.6782,9.4471
2014-09-03,9.60966,9.7167,9.5038
2014-09-02,9.63174,9.75,9.5149
2014-09-01,9.61615,9.7285,9.5051
2014-08-29,9.59142,9.7004,9.4837
2014-08-28,9.58795,9.7038,9.4734
2014-08-27,9.58169,9.6992,9.4656
2014-08-26,9.56573,0.0,0.0
2014-08-25,9.54029,0.0,0.0
2014-08-22,9.52446,9.6413,9.4091
2014-08-21,9.51344,9.6218,9.4063
2014-08-20,9.51754,0.0,0.0
2014-08-19,9.51867,9.6333,9.4054
2014-08-18,9.5075,0.0,0.0
2014-08-15,9.53728,0.0,0.0
2014-08-14,9.57801,0.0,0.0
2014-08-13,9.59038,0.0,0.0
2014-08-12,9.57492,0.0,0.0
2014-08-11,9.59103,0.0,0.0
2014-08-08,9.63652,9.7439,9.5304
2014-08-07,9.63482,0.0,0.0
2014-08-06,9.6094,9.7161,9.5039
2014-08-05,9.58111,9.6955,9.4681
2014-08-04,9.5949,9.7097,9.4815
2014-08-01,9.64242,9.7618,9.5245
2014-07-31,9.65571,9.7739,9.539
2014-07-30,9.65472,0.0,0.0
2014-07-29,9.65084,9.7703,9.5328
2014-07-28,9.64164,0.0,0.0
2014-07-25,9.63807,9.7496,9.5279
2014-07-24,9.64224,9.7595,9.5263
2014-07-23,9.62603,9.7323,9.5209
2014-07-22,9.61926,0.0,0.0
2014-07-21,9.63002,0.0,0.0
2014-07-18,9.64115,9.7498,9.5337
2014-07-17,9.61925,9.736,9.5039
2014-07-16,9.5771,9.6884,9.4671
2014-07-15,9.56977,9.681,9.4598
2014-07-14,9.57599,0.0,0.0
2014-07-11,9.57021,0.0,0.0
2014-07-10,9.56412,9.6782,9.4514
2014-07-09,9.56625,0.0,0.0
2014-07-08,9.57394,9.683,9.4661
2014-07-07,9.56515,0.0,0.0
2014-07-04,9.53321,9.6425,9.4252
2014-07-03,9.50578,9.6159,9.397
2014-07-02,9.47156,9.5778,9.3665
2014-07-01,9.45396,0.0,0.0
2014-06-30,9.45635,0.0,0.0
2014-06-27,9.4542,9.561,9.3486
2014-06-26,9.45602,0.0,0.0
2014-06-25,9.47598,0.0,0.0
2014-06-24,9.485,0.0,0.0
2014-06-23,9.4763,9.5877,9.3662
2014-06-20,9.46771,0.0,0.0
2014-06-19,9.47669,9.5841,9.3705
2014-06-18,9.48728,0.0,0.0
2014-06-17,9.49747,9.6145,9.3819
2014-06-16,9.46659,9.5784,9.3561
2014-06-13,9.40472,0.0,0.0
2014-06-12,9.3838,9.4889,9.2798
2014-06-11,9.36582,0.0,0.0
2014-06-10,9.34614,0.0,0.0
2014-06-09,9.33414,9.45,9.2197
2014-06-06,9.31903,0.0,0.0
2014-06-05,9.31067,9.4184,9.2041
2014-06-04,9.31948,9.4268,9.2134
2014-06-03,9.3116,9.4224,9.2021
2014-06-02,9.31143,0.0,0.0
2014-05-30,9.33885,9.4494,9.2296
2014-05-29,9.35819,9.4707,9.2471
2014-05-28,9.37216,9.4873,9.2584
2014-05-27,9.37971,0.0,0.0
2014-05-26,9.38847,0.0,0.0
2014-05-23,9.39103,9.505,9.2784
2014-05-22,9.37053,9.4856,9.2569
2014-05-21,9.34394,9.457,9.2322
2014-05-20,9.32951,0.0,0.0
2014-05-19,9.31418,9.4251,9.2046
2014-05-16,9.29505,0.0,0.0
2014-05-15,9.30226,9.412,9.1937
2014-05-14,9.30076,0.0,0.0
2014-05-13,9.29347,0.0,0.0
2014-05-12,9.27708,9.3922,9.1634
2014-05-09,9.24847,9.3507,9.1473
2014-05-08,9.24383,9.3507,9.1382
2014-05-07,9.23953,9.3525,9.1279
2014-05-06,9.24299,9.3491,9.1381
2014-05-05,9.2524,9.3586,9.1474
2014-05-02,9.25879,9.3703,9.1486
2014-05-01,9.2539,9.36,9.149
2014-04-30,9.24183,9.3567,9.1284
2014-04-29,9.24129,0.0,0.0
2014-04-28,9.24828,9.3561,9.1417
2014-04-25,9.25885,9.3661,9.1528
2014-04-24,9.27263,9.3777,9.1687
2014-04-23,9.27893,9.3941,9.1651
2014-04-22,9.26824,9.3781,9.1597
2014-04-21,9.2665,9.3734,9.1608
2014-04-18,9.25858,9.3706,9.1479
2014-04-17,9.23728,0.0,0.0
2014-04-16,9.22276,0.0,0.0
2014-04-15,9.20185,9.3059,9.099
