Date,Rate,High,Low
2015-07-27,0.643614,0.65127,0.63605
2015-07-24,0.641553,0.649,0.63419
2015-07-23,0.641772,0.64936,0.63427
2015-07-22,0.642246,0.0,0.0
2015-07-21,0.641369,0.64882,0.63401
2015-07-20,0.640658,0.64854,0.63287
2015-07-17,0.640146,0.64773,0.63265
2015-07-16,0.641214,0.64861,0.6339
2015-07-15,0.64405,0.65188,0.63631
2015-07-14,0.644464,0.65225,0.63677
2015-07-13,0.646626,0.65382,0.63951
2015-07-10,0.649931,0.65743,0.64252
2015-07-09,0.647615,0.65568,0.63965
2015-07-08,0.643676,0.65146,0.63599
2015-07-07,0.642237,0.64957,0.63498
2015-07-06,0.641735,0.64891,0.63464
2015-07-03,0.639951,0.64783,0.63217
2015-07-02,0.637487,0.64497,0.63009
2015-07-01,0.636016,0.0,0.0
2015-06-30,0.635765,0.64332,0.6283
2015-06-29,0.63551,0.64299,0.62812
2015-06-26,0.636055,0.0,0.0
2015-06-25,0.634958,0.0,0.0
2015-06-24,0.632791,0.0,0.0
2015-06-23,0.630356,0.0,0.0
2015-06-22,0.629977,0.63775,0.6223
2015-06-19,0.632776,0.64024,0.6254
2015-06-18,0.638437,0.0,0.0
2015-06-17,0.641536,0.0,0.0
2015-06-16,0.64297,0.0,0.0
2015-06-15,0.643779,0.0,0.0
2015-06-12,0.646238,0.0,0.0
2015-06-11,0.649,0.6563,0.64178
2015-06-10,0.652966,0.66042,0.64559
2015-06-09,0.654718,0.0,0.0
2015-06-08,0.65347,0.0,0.0
2015-06-05,0.651675,0.65933,0.64411
2015-06-04,0.6536,0.66161,0.64569
2015-06-03,0.65575,0.66313,0.64845
2015-06-02,0.655254,0.66327,0.64733
2015-06-01,0.653406,0.66148,0.64543
2015-05-29,0.65179,0.65978,0.6439
2015-05-28,0.649745,0.65698,0.64259
2015-05-27,0.647588,0.0,0.0
2015-05-26,0.645961,0.0,0.0
2015-05-25,0.643568,0.0,0.0
2015-05-22,0.641919,0.0,0.0
2015-05-21,0.64346,0.65142,0.63559
2015-05-20,0.640192,0.0,0.0
2015-05-19,0.636761,0.0,0.0
2015-05-18,0.635358,0.0,0.0
